#PMW Filter Profile
# wavelength [um]   transmission 
#----------------- --------------
498.4924569725990  0.0000000e+00
497.2431436181070  0.0000000e+00
496.0000142455100  0.0000000e+00
494.7631061077120  0.0000000e+00
493.5323819518090  0.0000000e+00
492.3077300190930  0.0000000e+00
491.0891503095630  0.0000000e+00
489.8766055703160  0.0000000e+00
488.6700212955470  0.0000000e+00
487.4693602323530  0.0000000e+00
486.2745851278310  0.0000000e+00
485.0856587290760  0.0000000e+00
483.9025065302850  0.0000000e+00
482.7251657843590  0.0000000e+00
481.5534874796870  0.0000000e+00
480.3875088691710  0.0000000e+00
479.2271181941030  0.0000000e+00
478.0723899602890  0.0000000e+00
476.9231751561160  0.0000000e+00
475.7794737815860  0.0000000e+00
474.6412858366970  0.0000000e+00
473.5084623098370  0.0000000e+00
472.3810777068140  0.0000000e+00
471.2590575218200  0.0000000e+00
470.1423272490500  0.0000000e+00
469.0308496356010  0.0000000e+00
467.9246991872790  0.0000000e+00
466.8236896395680  0.0000000e+00
465.7278582453730  0.0000000e+00
464.6371677517890  0.0000000e+00
463.5515809059140  0.0000000e+00
462.4710232019420  0.0000000e+00
461.3954946398740  0.0000000e+00
460.3249952197070  0.0000000e+00
459.2594504356380  0.0000000e+00
458.1987857818600  0.0000000e+00
457.1430385112760  0.0000000e+00
456.0921341180800  0.0000000e+00
455.0460353493690  0.0000000e+00
454.0047794580460  0.0000000e+00
452.9682546854020  0.0000000e+00
451.9364237785340  0.0000000e+00
450.9093239903450  0.0000000e+00
449.8868435621260  0.0000000e+00
448.8689824938770  0.0000000e+00
447.8557780385020  0.0000000e+00
446.8470811843870  0.0000000e+00
445.8429291844370  0.0000000e+00
444.8432475328450  0.0000000e+00
443.8481107354160  0.0000000e+00
442.8573697805400  0.0000000e+00
441.8710619211200  0.0000000e+00
440.8891499042510  0.0000000e+00
439.9115592241290  0.0000000e+00
438.9382898807530  0.0000000e+00
437.9693791270260  0.0000000e+00
437.0046779513360  0.0000000e+00
436.0442236065860  0.0000000e+00
435.0880160927770  0.0000000e+00
434.1359436511990  0.0000000e+00
433.1880435347560  0.0000000e+00
432.2443157434460  0.0000000e+00
431.3046485185620  0.0000000e+00
430.3690418601040  0.0000000e+00
429.4374957680700  0.0000000e+00
428.5100102424620  0.0000000e+00
427.5865107774730  0.0000000e+00
426.6669601202010  0.0000000e+00
425.7513955235480  0.0000000e+00
424.8397052288060  0.0000000e+00
423.9319264888760  0.0000000e+00
423.0280220508580  0.0000000e+00
422.1279546618460  0.0000000e+00
421.2317243218420  0.0000000e+00
420.3392937779430  0.0000000e+00
419.4506257772450  3.2630175e-01
418.5657203197480  3.5588339e-01
417.6845401525500  3.9289498e-01
416.8070480227470  4.1986659e-01
415.9332439303400  4.3568674e-01
415.0630906224250  4.5849481e-01
414.1965880990030  4.8014590e-01
413.3336618542670  5.0042754e-01
412.4743491411210  5.1832908e-01
411.6186127066610  5.3410727e-01
410.7663780450820  5.3705639e-01
409.9176824092860  5.2650106e-01
409.0725257992740  5.2268469e-01
408.2307964563370  5.3135991e-01
407.3925316333770  5.3353018e-01
406.5577313303950  5.3060263e-01
405.7263210415840  5.5047971e-01
404.8983007669450  5.7140285e-01
404.0736705064770  5.6640273e-01
403.2523930072780  5.7052338e-01
402.4344310164450  5.9316230e-01
401.6197845339780  6.0678804e-01
400.8084535598750  6.1242563e-01
400.0003635883330  6.2336725e-01
399.1955146193500  6.3821894e-01
398.3939439058300  6.5208656e-01
397.5955769419670  6.3636315e-01
396.8003764748570  6.2974417e-01
396.0083797574040  6.4526594e-01
395.2195122838020  6.5166283e-01
394.4337740540500  6.4911926e-01
393.6512023210530  6.5157604e-01
392.8716853260990  6.6070944e-01
392.0952603220940  6.5833122e-01
391.3218900561330  6.4403170e-01
390.5515745282170  6.3642871e-01
389.7842764854430  6.3547605e-01
389.0199959278110  6.3224083e-01
388.2587328553200  6.2400585e-01
387.5004127621650  6.2068963e-01
386.7450356483460  6.2079668e-01
385.9926387667660  6.1592299e-01
385.2431103587150  6.1285049e-01
384.4965249300000  6.1567885e-01
383.7528452277180  6.2283808e-01
383.0119967460630  6.2392670e-01
382.2740167379380  6.2686831e-01
381.5389052033420  6.3479257e-01
380.8065503835680  6.4015007e-01
380.0770267844200  6.4334238e-01
379.3502971529960  6.4087063e-01
378.6263987421990  6.3580883e-01
377.9051825404170  6.3949108e-01
377.1867230534550  6.3778949e-01
376.4710202813150  6.2574917e-01
375.7579997181890  6.2396288e-01
375.0476613640790  6.2328911e-01
374.3400797247890  6.2126368e-01
373.6350685358050  6.2824506e-01
372.9327395558360  6.3580275e-01
372.2330927848820  6.4249313e-01
371.5360164642330  6.4558583e-01
370.8415478467940  6.4668918e-01
370.1496869325640  6.4892858e-01
369.4603964686390  6.4540094e-01
368.7736764550210  6.3024223e-01
368.0894896388050  6.1791837e-01
367.4078732728960  6.1417568e-01
366.7287155985830  6.0086787e-01
366.0520911216740  5.8253282e-01
365.3779998421670  5.7374358e-01
364.7063300013540  5.6416535e-01
364.0371561050420  5.4802787e-01
363.3704409003260  5.4353756e-01
362.7061098814010  5.5112755e-01
362.0442375540730  5.5714560e-01
361.3847866654400  5.6567466e-01
360.7277199625970  5.7714123e-01
360.0730374455450  5.8594459e-01
359.4207763671880  5.9444928e-01
358.7708249688150  6.0749817e-01
358.1232205033300  6.1950618e-01
357.4779257178310  6.2252808e-01
356.8350151181220  6.1390823e-01
356.1943769454960  6.0625064e-01
355.5560111999510  6.0551703e-01
354.9199923872950  6.0326844e-01
354.2861714959140  5.9471899e-01
353.6546602845190  5.8092028e-01
353.0253842473030  5.6445038e-01
352.3983433842660  5.5438930e-01
351.7735004425050  5.4997760e-01
351.1509299278260  5.4034561e-01
350.5305200815200  5.3462386e-01
349.9123081564900  5.3505814e-01
349.2962568998340  5.4150635e-01
348.6823663115500  5.4912728e-01
348.0706363916400  5.4836684e-01
347.4610671401020  5.4911935e-01
346.8536213040350  5.5766988e-01
346.2482988834380  5.6878263e-01
345.6450626254080  5.7841575e-01
345.0439870357510  5.8344918e-01
344.4449231028560  5.8420914e-01
343.8479825854300  5.8287609e-01
343.2530909776690  5.7823950e-01
342.6602482795720  5.7047701e-01
342.0694544911380  5.6728178e-01
341.4807096123700  5.6780457e-01
340.8939763903620  5.6309485e-01
340.3092548251150  5.5772001e-01
339.7265449166300  5.5276227e-01
339.1458094120030  5.5049610e-01
338.5670483112340  5.5343550e-01
337.9902616143230  5.5617827e-01
337.4154865741730  5.5477107e-01
336.8426114320760  5.5546743e-01
336.2716734409330  5.5299109e-01
335.7027098536490  5.4989153e-01
335.1356461644170  5.4621983e-01
334.5704823732380  5.3982317e-01
334.0072557330130  5.3533053e-01
333.4458917379380  5.2373618e-01
332.8863903880120  5.1263785e-01
332.3288261890410  5.1036453e-01
331.7730873823170  5.0563622e-01
331.2192112207410  4.9909407e-01
330.6671604514120  4.9238390e-01
330.1169723272320  4.8649877e-01
329.5686095952990  4.8884383e-01
329.0220722556110  4.9679828e-01
328.4773230552670  5.0371712e-01
327.9343992471690  5.1236838e-01
327.3932263255120  5.2157480e-01
326.8538787961010  5.2454382e-01
326.3163194060330  5.2197140e-01
325.7804736495020  5.2724409e-01
325.2464160323140  5.3363442e-01
324.7141093015670  5.3014797e-01
324.1835162043570  5.2122444e-01
323.6546739935870  5.1653010e-01
323.1275454163550  5.1553661e-01
322.6021304726600  5.0129020e-01
322.0784291625020  4.8718008e-01
321.5564414858820  4.7960415e-01
321.0361301898960  4.6850485e-01
320.5174580216410  4.5756394e-01
320.0005367398260  4.4868678e-01
319.4852173328400  4.4380271e-01
318.9715743064880  4.3902251e-01
318.4596076607700  4.3227735e-01
317.9492428898810  4.3302655e-01
317.4405172467230  4.3879580e-01
316.9334307312970  4.3987083e-01
316.4279460906980  4.4350535e-01
315.9241005778310  4.5452815e-01
315.4218569397930  4.5592064e-01
314.9211779236790  4.5922428e-01
314.4220635294910  4.6977437e-01
313.9245882630350  4.7893155e-01
313.4286403656010  4.7878078e-01
312.9342943429950  4.7518229e-01
312.4414943158630  4.7881994e-01
311.9502216577530  4.7505176e-01
311.4604949951170  4.6559334e-01
310.9723143279550  4.5495832e-01
310.4856610298160  4.4488734e-01
310.0005164742470  4.3574432e-01
309.5169365406040  4.2601126e-01
309.0348094701770  4.1699123e-01
308.5541911423210  4.1064352e-01
308.0750629305840  4.1280261e-01
307.5974248349670  4.1472137e-01
307.1212582290170  4.1057631e-01
306.6466189920900  4.0692267e-01
306.1733953654770  4.0091655e-01
305.7016246020790  3.9449334e-01
305.2313067018990  3.8265762e-01
304.7624416649340  3.6909577e-01
304.2950108647350  3.5192776e-01
303.8290329277520  3.3343613e-01
303.3644706010820  3.1169310e-01
302.9013052582740  2.9073530e-01
302.4395741522310  2.7053559e-01
301.9792214035990  2.5137162e-01
301.5202842652800  2.3480186e-01
301.0627441108230  2.1880864e-01
300.6066195666790  2.0205127e-01
300.1518361270430  1.8440801e-01
299.6984310448170  1.6885658e-01
299.2463856935500  1.5435229e-01
298.7957186996940  1.3919307e-01
298.3463928103450  1.2455370e-01
297.8984639048580  1.1317592e-01
297.4518388509750  1.0222189e-01
297.0065362751480  9.1636658e-02
296.5625748038290  8.1467479e-02
296.1199358105660  7.1541645e-02
295.6786192953590  6.3423604e-02
295.2386252582070  5.6905080e-02
294.7999723255630  5.0492615e-02
294.3625673651700  4.4376995e-02
293.9264662563800  3.9223757e-02
293.4916689991950  3.5425451e-02
293.0581383407120  3.2235924e-02
292.6259115338330  2.9484855e-02
292.1949699521060  2.6844352e-02
291.7652577161790  2.4520366e-02
291.3368307054040  2.2530038e-02
290.9096330404280  2.1117209e-02
290.4837019741540  1.9746216e-02
290.0590188801290  1.8386386e-02
289.6356023848060  1.6980680e-02
289.2133966088290  1.5841501e-02
288.7924015522000  1.4961516e-02
288.3726544678210  1.4014524e-02
287.9540994763370  1.2959699e-02
287.5367738306520  1.1936063e-02
287.1206589043140  1.1186954e-02
286.7057733237740  1.0486226e-02
286.2920425832270  9.2085516e-03
285.8795225620270  8.8916756e-03
285.4681760072710  9.1235880e-03
285.0580215454100  7.9859216e-03
284.6490405499940  7.1885060e-03
284.2412516474720  6.7224521e-03
283.8346175849440  6.2380321e-03
283.4291383624080  6.0041598e-03
283.0248139798640  5.8098473e-03
282.6216258108620  5.6120204e-03
282.2196111083030  5.2457592e-03
281.8187139928340  4.9139140e-03
281.4190089702610  4.6840115e-03
281.0203842818740  4.4475370e-03
