#lambda  transmission
      86.5801     0.442078
      86.7679     0.443654
      86.9565     0.444661
      87.1460     0.443947
      87.3362     0.441489
      87.5274     0.439453
      87.7193     0.436985
      87.9121     0.433433
      88.1057     0.431011
      88.3002     0.428992
      88.4956     0.425648
      88.6918     0.422882
      88.8889     0.420483
      89.0869     0.416628
      89.2857     0.412423
      89.4855     0.409785
      89.6861     0.406396
      89.8876     0.403976
      90.0901     0.404834
      90.2935     0.407556
      90.4977     0.412733
      90.7029     0.421293
      90.9091     0.429533
      91.1162     0.437935
      91.3242     0.449141
      91.5332     0.460351
      91.7431     0.470352
      91.9540     0.481688
      92.1659     0.492609
      92.3788     0.502153
      92.5926     0.512986
      92.8074     0.523493
      93.0233     0.531692
      93.2401     0.540633
      93.4579     0.549775
      93.6768     0.555764
      93.8967     0.561068
      94.1176     0.565942
      94.3396     0.567452
      94.5626     0.568157
      94.7867     0.570508
      95.0119     0.571616
      95.2381     0.573019
      95.4654     0.575780
      95.6938     0.576367
      95.9233     0.575739
      96.1538     0.578610
      96.3855     0.580246
      96.6184     0.578966
      96.8523     0.580038
      97.0874     0.581219
      97.3236     0.580184
      97.5610     0.581172
      97.7995     0.582526
      98.0392     0.581595
      98.2801     0.581921
      98.5222     0.582167
      98.7654     0.578952
      99.0099     0.575169
      99.2556     0.571108
      99.5025     0.563640
      99.7506     0.556846
      100.000     0.553627
      100.251     0.549269
      100.503     0.544147
      100.756     0.540431
      101.010     0.533981
      101.266     0.527844
      101.523     0.525945
      101.781     0.524405
      102.041     0.520724
      102.302     0.519074
      102.564     0.517688
      102.828     0.514608
      103.093     0.513931
      103.359     0.513783
      103.627     0.510802
      103.896     0.507169
      104.167     0.502256
      104.439     0.494410
      104.712     0.487835
      104.987     0.482584
      105.263     0.473372
      105.541     0.463719
      105.820     0.460195
      106.101     0.455217
      106.383     0.450775
      106.667     0.453501
      106.952     0.455920
      107.239     0.455619
      107.527     0.459141
      107.817     0.459018
      108.108     0.454029
      108.401     0.455200
      108.696     0.457686
      108.992     0.452013
      109.290     0.449778
      109.589     0.450995
      109.890     0.445150
      110.193     0.442953
      110.497     0.445748
      110.803     0.441609
      111.111     0.438610
      111.421     0.442069
      111.732     0.437672
      112.045     0.433324
      112.360     0.436091
      112.676     0.432658
      112.994     0.426907
      113.314     0.427058
      113.636     0.422077
      113.960     0.413699
      114.286     0.412088
      114.613     0.409175
      114.943     0.401063
      115.274     0.397287
      115.607     0.393540
      115.942     0.384306
      116.279     0.379174
      116.618     0.376256
      116.959     0.367713
      117.302     0.361588
      117.647     0.358322
      117.994     0.348840
      118.343     0.340148
      118.694     0.334940
      119.048     0.324309
      119.403     0.313222
      119.760     0.305625
      120.120     0.293588
      120.482     0.279905
      120.846     0.269006
      121.212     0.255196
      121.581     0.239686
      121.951     0.226569
      122.324     0.211424
      122.699     0.194123
      123.077     0.178874
      123.457     0.163280
      123.839     0.146036
      124.224     0.130748
      124.611     0.116502
      125.000     0.101429
      125.392    0.0876730
      125.786    0.0752222
      126.183    0.0630799
      126.582    0.0527140
      126.984    0.0439155
      127.389    0.0355836
      127.796    0.0284683
      128.205    0.0227364
      128.617    0.0176269
      129.032    0.0135389
      129.450    0.0107274
      129.870   0.00872007
      130.293   0.00730932
      130.719   0.00653528
      131.148   0.00623437
      131.579   0.00607881
      132.013   0.00608448
      132.450   0.00617388
      132.890   0.00630913
      133.333   0.00649564
      133.779   0.00655158
      134.228   0.00641340
      134.680   0.00616954
      135.135   0.00583824
      135.593   0.00544316
      136.054   0.00508928
      136.519   0.00475427
      136.986   0.00432618
      137.457   0.00390367
      137.931   0.00348306
      138.408   0.00297993
      138.889   0.00253829
      139.373   0.00223660
      139.860   0.00192585
      140.351   0.00159185
      140.845   0.00131640
      141.343   0.00105967
      141.844  0.000836362
      142.349  0.000671699
      142.857  0.000538649
      143.369  0.000430193
      143.885  0.000354388
      144.404  0.000286466
      144.928  0.000218613
      145.455  0.000168992
      145.985  0.000134746
      146.520  0.000105133
      147.059  8.31525e-05
      147.601  6.48027e-05
      148.148  4.72122e-05
      148.699  3.54863e-05
      149.254  2.89972e-05
      149.813  2.24804e-05
      150.376  1.72407e-05
      150.943  1.45647e-05
