#lambda  transmission
      60.0601  0.000199963
      60.1504  0.000170513
      60.2410  0.000191197
      60.3318  0.000220734
      60.4230  0.000210788
      60.5144  0.000197932
      60.6061  0.000189616
      60.6980  0.000205429
      60.7903  0.000327247
      60.8828  0.000490600
      60.9756  0.000575784
      61.0687  0.000623078
      61.1621  0.000623546
      61.2557  0.000503425
      61.3497  0.000370952
      61.4439  0.000277245
      61.5385  0.000151116
      61.6333  0.000116379
      61.7284  0.000193522
      61.8238  0.000177925
      61.9195  0.000140394
      62.0155  0.000223237
      62.1118  0.000258307
      62.2084  0.000259371
      62.3053  0.000367552
      62.4025  0.000394153
      62.5000  0.000344330
      62.5978  0.000413742
      62.6959  0.000506198
      62.7943  0.000479430
      62.8931  0.000546993
      62.9921  0.000593104
      63.0915  0.000479372
      63.1912  0.000504525
      63.2911  0.000557419
      63.3914  0.000364366
      63.4921  0.000262648
      63.5930  0.000333103
      63.6943  0.000237714
      63.7959  0.000227901
      63.8978  0.000428838
      64.0000  0.000412259
      64.1026  0.000357772
      64.2055  0.000542128
      64.3087  0.000536932
      64.4122  0.000431438
      64.5161  0.000571184
      64.6204  0.000528970
      64.7249  0.000326372
      64.8298  0.000418403
      64.9351  0.000368612
      65.0406  5.98425e-05
      65.1466  0.000164752
      65.2529  0.000389526
      65.3595  0.000282459
      65.4664  0.000382636
      65.5738  0.000599967
      65.6814  0.000416524
      65.7895  0.000370946
      65.8979  0.000608955
      66.0066  0.000521524
      66.1157  0.000460917
      66.2252  0.000648219
      66.3350  0.000515886
      66.4452  0.000197660
      66.5557  0.000322192
      66.6667  0.000246434
      66.7780  2.26324e-05
      66.8896  0.000180383
      67.0017  0.000292037
      67.1141  1.74365e-05
      67.2269  0.000128273
      67.3401  0.000322090
      67.4536  2.20102e-05
      67.5676  0.000146622
      67.6819  0.000353133
      67.7966  6.66565e-05
      67.9117  7.80004e-05
      68.0272  0.000372140
      68.1431  7.76489e-05
      68.2594  1.45326e-05
      68.3761  0.000208515
      68.4931  7.24300e-05
      68.6106  6.56582e-05
      68.7285  0.000224036
      68.8468  0.000109429
      68.9655  6.41220e-05
      69.0846  0.000525533
      69.2042  0.000414538
      69.3241  0.000299510
      69.4444  0.000741732
      69.5652  0.000555843
      69.6864  0.000204961
      69.8080  0.000555849
      69.9301  0.000305114
      70.0525  8.17151e-05
      70.1754  0.000206735
      70.2988  0.000227073
      70.4225  3.79969e-05
      70.5467  0.000323698
      70.6714  0.000677684
      70.7965  0.000281413
      70.9220  0.000600394
      71.0480   0.00117552
      71.1744  0.000843782
      71.3012  0.000952690
      71.4286   0.00142541
      71.5564  0.000984063
      71.6846  0.000880493
      71.8133   0.00137865
      71.9424  0.000929685
      72.0721  0.000536346
      72.2022  0.000939762
      72.3327  0.000566604
      72.4638  0.000131566
      72.5953  0.000620561
      72.7273  0.000334041
      72.8597  6.65021e-05
      72.9927  7.17689e-05
      73.1261  0.000198455
      73.2601  1.01069e-05
      73.3945  2.50116e-05
      73.5294  0.000105690
      73.6648  2.17186e-05
      73.8007  9.13995e-05
      73.9372  1.73386e-05
      74.0741  9.46078e-05
      74.2115  0.000356739
      74.3494  0.000196317
      74.4879  0.000223491
      74.6269  0.000429855
      74.7664  0.000195325
      74.9064  5.67558e-05
      75.0469  0.000152027
      75.1880  2.63806e-05
      75.3296  1.39167e-05
      75.4717  0.000218719
      75.6144  0.000202814
      75.7576  0.000196664
      75.9013  0.000853193
      76.0456  0.000516178
      76.1905  0.000132431
      76.3359  0.000877855
      76.4818  0.000597626
      76.6283  0.000148410
      76.7754   0.00107700
      76.9231   0.00107757
      77.0713  0.000505759
      77.2201   0.00146602
      77.3694   0.00187287
      77.5194   0.00122790
      77.6699   0.00201758
      77.8210   0.00263618
      77.9727   0.00188691
      78.1250   0.00248817
      78.2779   0.00343843
      78.4314   0.00281022
      78.5855   0.00320552
      78.7402   0.00447173
      78.8955   0.00439539
      79.0514   0.00517591
      79.2079   0.00716061
      79.3651   0.00761961
      79.5229   0.00837470
      79.6813    0.0105813
      79.8403    0.0114142
      80.0000    0.0122284
      80.1603    0.0148922
      80.3213    0.0165573
      80.4829    0.0180259
      80.6452    0.0219115
      80.8081    0.0254878
      80.9717    0.0281046
      81.1359    0.0329856
      81.3008    0.0391302
      81.4664    0.0450417
      81.6327    0.0518642
      81.7996    0.0589551
      81.9672    0.0668480
      82.1355    0.0767671
      82.3045    0.0874425
      82.4742     0.100780
      82.6446     0.115714
      82.8157     0.131404
      82.9875     0.149148
      83.1601     0.167954
      83.3333     0.186327
      83.5073     0.205672
      83.6820     0.225335
      83.8574     0.242845
      84.0336     0.259589
      84.2105     0.269478
      84.3882     0.283383
      84.5666     0.296556
      84.7458     0.310720
      84.9257     0.325314
      85.1064     0.341531
      85.2878     0.359379
      85.4701     0.376443
      85.6531     0.392817
      85.8369     0.408650
      86.0215     0.420221
      86.2069     0.429624
      86.3931     0.437686
