#PSW Filter Profile
# wavelength [um]   transmission 
#----------------- --------------
994.9155896902080  0.0000000e+00
989.9160265922550  0.0000000e+00
984.9664568901060  0.0000000e+00
980.0661355257030  0.0000000e+00
975.2143174409870  0.0000000e+00
970.4103320837020  0.0000000e+00
965.6534343957900  0.0000000e+00
960.9430283308030  0.0000000e+00
956.2782198190690  0.0000000e+00
951.6585618257520  0.0000000e+00
947.0832347869870  0.0000000e+00
942.5517171621320  0.0000000e+00
938.0634129047390  0.0000000e+00
933.6175769567490  0.0000000e+00
929.2137622833250  0.0000000e+00
924.8512983322140  0.0000000e+00
920.5295890569690  0.0000000e+00
916.2480384111400  0.0000000e+00
912.0061993598940  0.0000000e+00
907.8034013509750  0.0000000e+00
903.6391228437420  0.0000000e+00
899.5129168033600  0.0000000e+00
895.4243361949920  0.0000000e+00
891.3726359605790  0.0000000e+00
887.3574435710910  0.0000000e+00
883.3782374858860  0.0000000e+00
879.4345706701280  0.0000000e+00
875.5259960889820  0.0000000e+00
871.6519922018050  0.0000000e+00
867.8121864795680  0.0000000e+00
864.0059828758240  0.0000000e+00
860.2330833673480  0.0000000e+00
856.4928919076920  0.0000000e+00
852.7851104736330  0.0000000e+00
849.1093665361400  0.0000000e+00
845.4650640487670  0.0000000e+00
841.8519794940950  0.0000000e+00
838.2697403430940  0.0000000e+00
834.7177505493160  0.0000000e+00
831.1957120895390  0.0000000e+00
827.7033269405360  0.0000000e+00
824.2400735616680  0.0000000e+00
820.8057284355160  0.0000000e+00
817.3999190330510  0.0000000e+00
814.0222728252410  0.0000000e+00
810.6724172830580  0.0000000e+00
807.3499798774720  0.0000000e+00
804.0546625852580  0.0000000e+00
800.7861673831940  0.0000000e+00
797.5441217422490  0.0000000e+00
794.3282276391980  0.0000000e+00
791.1381870508190  0.0000000e+00
787.9736274480820  0.0000000e+00
784.8343253135680  0.0000000e+00
781.7199081182480  0.0000000e+00
778.6300778388980  0.0000000e+00
775.5646109580990  0.0000000e+00
772.5232094526290  0.0000000e+00
769.5055007934570  0.0000000e+00
766.5114104747770  0.0000000e+00
763.5404169559480  0.0000000e+00
760.5923712253570  0.0000000e+00
757.6670497655870  0.0000000e+00
754.7640800476070  0.0000000e+00
751.8833130598070  0.0000000e+00
