#PLW Filter Profile
# wavelength [um]   transmission 
#----------------- --------------
992.0002520084380  0.0000000e+00
987.0649129152300  0.0000000e+00
982.1784496307370  0.0000000e+00
977.3401916027070  0.0000000e+00
972.5493192672730  0.0000000e+00
967.8052365779880  0.0000000e+00
963.1070494651790  0.0000000e+00
958.4544599056240  0.0000000e+00
953.8465738296510  0.0000000e+00
949.2826461791990  0.0000000e+00
944.7623044252400  0.0000000e+00
940.2848035097120  0.0000000e+00
935.8494728803630  0.0000000e+00
931.4558655023570  0.0000000e+00
927.1032363176350  0.0000000e+00
922.7911382913590  0.0000000e+00
918.5190498828890  0.0000000e+00
914.2862260341640  0.0000000e+00
910.0922942161560  0.0000000e+00
905.9366583824160  0.0000000e+00
901.8187224864960  0.0000000e+00
897.7381139993670  0.0000000e+00
893.6942368745800  0.0000000e+00
889.6866440773010  0.0000000e+00
885.7148885726930  0.0000000e+00
881.7783743143080  0.0000000e+00
877.8767287731170  0.0000000e+00
874.0095049142840  0.0000000e+00
870.1761066913600  0.0000000e+00
866.3762360811230  0.0000000e+00
862.6092970371250  0.0000000e+00
858.8751405477520  0.0000000e+00
855.1730960607530  0.0000000e+00
851.5027910470960  0.0000000e+00
847.8639274835590  0.0000000e+00
844.2560583353040  0.0000000e+00
840.6786620616910  0.0000000e+00
837.1315896511080  0.0000000e+00
833.6141705513000  0.0000000e+00
830.1262557506560  0.0000000e+00
826.6674727201460  0.0000000e+00
823.2372999191280  0.0000000e+00
819.8355138301850  0.0000000e+00
816.4617419242860  0.0000000e+00
813.1155371665950  0.0000000e+00
809.7967505455020  0.0000000e+00
806.5048605203630  0.0000000e+00
803.2397180795670  0.0000000e+00
800.0008761882780  0.0000000e+00
796.7879623174670  0.0000000e+00
793.6008274555210  0.0000000e+00
790.4390990734100  0.0000000e+00
787.3024046421050  0.0000000e+00
784.1905951499940  0.0000000e+00
781.1032235622410  0.0000000e+00
778.0400663614270  0.0000000e+00
775.0009000301360  0.0000000e+00
771.9853520393370  0.0000000e+00
768.9931243658070  0.0000000e+00
766.0240679979320  0.0000000e+00
763.0778104066850  0.0000000e+00
760.1542025804520  0.0000000e+00
757.2527974843980  0.0000000e+00
754.3735206127170  0.0000000e+00
751.5160739421840  0.0000000e+00
