#lambda  transmission
      2.50031  5.00000e-10
      2.50047  4.90000e-10
      2.50063  4.92597e-10
      2.50078  4.36333e-10
      2.50094  4.20621e-10
      2.50109  4.53410e-10
      2.50125  4.90515e-10
      2.50141  4.87446e-10
      2.50156  4.78553e-10
      2.50172  4.94286e-10
      2.50188  5.52161e-10
      2.50203  6.03247e-10
      2.50219  6.11737e-10
      2.50235  6.48011e-10
      2.50250  7.33094e-10
      2.50266  8.50622e-10
      2.50282  9.53715e-10
      2.50297  1.03839e-09
      2.50313  1.17067e-09
      2.50329  1.21574e-09
      2.50344  1.11541e-09
      2.50360  1.01083e-09
      2.50376  9.53667e-10
      2.50391  9.15762e-10
      2.50407  8.57496e-10
      2.50423  7.89047e-10
      2.50438  7.98661e-10
      2.50454  8.72128e-10
      2.50470  9.29902e-10
      2.50485  9.02131e-10
      2.50501  8.35159e-10
      2.50517  8.08616e-10
      2.50532  7.53734e-10
      2.50548  6.34698e-10
      2.50564  4.94380e-10
      2.50579  4.50618e-10
      2.50595  5.43101e-10
      2.50611  6.32904e-10
      2.50627  6.99130e-10
      2.50642  7.99056e-10
      2.50658  9.07615e-10
      2.50674  1.00824e-09
      2.50689  1.10587e-09
      2.50705  1.14725e-09
      2.50721  1.11689e-09
      2.50737  1.08056e-09
      2.50752  1.01760e-09
      2.50768  8.80238e-10
      2.50784  9.09092e-10
      2.50799  1.12442e-09
      2.50815  1.20903e-09
      2.50831  1.05804e-09
      2.50847  8.09904e-10
      2.50862  7.46953e-10
      2.50878  7.81789e-10
      2.50894  6.98887e-10
      2.50910  6.16178e-10
      2.50925  6.09141e-10
      2.50941  6.18168e-10
      2.50957  6.03492e-10
      2.50973  5.58919e-10
      2.50988  5.27429e-10
      2.51004  5.32657e-10
      2.51020  5.54067e-10
      2.51036  5.36276e-10
      2.51051  4.90941e-10
      2.51067  5.15161e-10
      2.51083  5.92931e-10
      2.51099  6.59525e-10
      2.51114  7.11788e-10
      2.51130  7.50354e-10
      2.51146  7.96813e-10
      2.51162  8.09289e-10
      2.51177  7.81551e-10
      2.51193  8.40878e-10
      2.51209  9.27286e-10
      2.51225  9.42456e-10
      2.51240  9.62349e-10
      2.51256  9.91032e-10
      2.51272  9.61517e-10
      2.51288  8.61119e-10
      2.51304  7.02784e-10
      2.51319  5.34430e-10
      2.51335  4.31158e-10
      2.51351  4.11656e-10
      2.51367  3.76068e-10
      2.51383  3.12157e-10
      2.51398  2.81623e-10
      2.51414  3.24128e-10
      2.51430  4.14917e-10
      2.51446  4.72295e-10
      2.51462  4.63239e-10
      2.51477  4.05544e-10
      2.51493  3.80076e-10
      2.51509  4.10214e-10
      2.51525  4.66681e-10
      2.51541  5.25193e-10
      2.51557  5.80633e-10
      2.51572  6.47315e-10
      2.51588  7.06980e-10
      2.51604  7.26198e-10
      2.51620  7.35451e-10
      2.51636  7.23534e-10
      2.51651  6.76284e-10
      2.51667  5.63897e-10
      2.51683  4.17966e-10
      2.51699  3.38637e-10
      2.51715  3.15047e-10
      2.51731  3.22477e-10
      2.51746  3.99094e-10
      2.51762  4.81480e-10
      2.51778  4.62477e-10
      2.51794  4.64422e-10
      2.51810  5.48925e-10
      2.51826  6.20955e-10
      2.51842  6.55702e-10
      2.51857  6.69985e-10
      2.51873  6.54303e-10
      2.51889  6.64051e-10
      2.51905  7.63307e-10
      2.51921  9.16236e-10
      2.51937  1.04621e-09
      2.51953  1.06621e-09
      2.51969  9.81536e-10
      2.51984  8.81411e-10
      2.52000  8.81101e-10
      2.52016  9.14773e-10
      2.52032  8.30315e-10
      2.52048  7.34082e-10
      2.52064  6.94309e-10
      2.52080  6.81632e-10
      2.52096  6.66901e-10
      2.52111  6.48291e-10
      2.52127  6.74461e-10
      2.52143  7.38712e-10
      2.52159  7.90501e-10
      2.52175  8.41906e-10
      2.52191  8.83314e-10
      2.52207  8.41889e-10
      2.52223  7.61508e-10
      2.52239  7.17471e-10
      2.52255  6.32700e-10
      2.52270  5.33871e-10
      2.52286  4.87760e-10
      2.52302  5.05285e-10
      2.52318  5.60112e-10
      2.52334  6.03110e-10
      2.52350  6.10020e-10
      2.52366  6.00541e-10
      2.52382  6.25498e-10
      2.52398  7.18077e-10
      2.52414  8.69497e-10
      2.52430  9.68126e-10
      2.52446  9.80001e-10
      2.52462  1.00129e-09
      2.52477  1.02864e-09
      2.52493  1.00212e-09
      2.52509  8.91222e-10
      2.52525  7.34022e-10
      2.52541  5.90582e-10
      2.52557  5.90208e-10
      2.52573  7.39472e-10
      2.52589  8.25346e-10
      2.52605  7.73251e-10
      2.52621  6.65911e-10
      2.52637  6.88704e-10
      2.52653  8.70626e-10
      2.52669  1.06436e-09
      2.52685  1.08863e-09
      2.52701  9.92810e-10
      2.52717  1.04960e-09
      2.52733  1.12416e-09
      2.52749  1.06175e-09
      2.52765  1.03546e-09
      2.52781  1.06896e-09
      2.52797  1.08397e-09
      2.52813  1.08888e-09
      2.52829  1.06702e-09
      2.52845  9.44242e-10
      2.52860  7.47756e-10
      2.52876  5.75102e-10
      2.52892  4.92352e-10
      2.52908  4.63683e-10
      2.52924  4.27367e-10
      2.52940  3.96020e-10
      2.52956  3.72881e-10
      2.52972  3.63860e-10
      2.52988  3.60250e-10
      2.53004  3.48995e-10
      2.53020  3.17067e-10
      2.53036  2.84253e-10
      2.53052  2.99925e-10
      2.53068  3.59942e-10
      2.53084  4.17956e-10
      2.53100  4.15661e-10
      2.53116  4.28085e-10
      2.53133  5.67889e-10
      2.53149  7.95983e-10
      2.53165  1.03237e-09
      2.53181  1.22409e-09
      2.53197  1.35272e-09
      2.53213  1.45983e-09
      2.53229  1.64657e-09
      2.53245  1.86126e-09
      2.53261  2.02149e-09
      2.53277  2.19696e-09
      2.53293  2.33652e-09
      2.53309  2.24962e-09
      2.53325  1.99496e-09
      2.53341  1.71778e-09
      2.53357  1.46932e-09
      2.53373  1.16894e-09
      2.53389  8.46080e-10
