#lambda  transmission
      2.53405  6.79748e-10
      2.53421  6.02626e-10
      2.53437  4.51341e-10
      2.53453  2.59941e-10
      2.53469  1.33055e-10
      2.53485  1.70976e-10
      2.53501  3.21923e-10
      2.53518  4.84192e-10
      2.53534  5.98178e-10
      2.53550  6.67753e-10
      2.53566  7.15185e-10
      2.53582  7.44160e-10
      2.53598  7.69034e-10
      2.53614  7.82994e-10
      2.53630  7.83971e-10
      2.53646  7.54967e-10
      2.53662  7.24541e-10
      2.53678  6.84109e-10
      2.53694  5.86393e-10
      2.53711  4.88935e-10
      2.53727  4.33659e-10
      2.53743  3.85046e-10
      2.53759  3.67222e-10
      2.53775  4.07107e-10
      2.53791  3.61677e-10
      2.53807  2.52185e-10
      2.53823  1.72899e-10
      2.53839  1.67752e-10
      2.53855  2.47416e-10
      2.53872  4.04081e-10
      2.53888  5.84840e-10
      2.53904  7.38691e-10
      2.53920  8.85614e-10
      2.53936  9.55771e-10
      2.53952  8.18611e-10
      2.53968  6.80754e-10
      2.53984  6.71539e-10
      2.54000  6.70297e-10
      2.54017  6.57139e-10
      2.54033  6.39346e-10
      2.54049  5.86047e-10
      2.54065  5.17407e-10
      2.54081  4.84561e-10
      2.54097  4.96044e-10
      2.54113  5.32328e-10
      2.54130  5.70743e-10
      2.54146  6.37204e-10
      2.54162  7.39223e-10
      2.54178  8.18293e-10
      2.54194  8.83829e-10
      2.54210  9.65137e-10
      2.54227  9.91239e-10
      2.54243  9.83370e-10
      2.54259  1.02638e-09
      2.54275  1.06272e-09
      2.54291  1.02934e-09
      2.54307  9.72486e-10
      2.54324  9.42453e-10
      2.54340  9.82140e-10
      2.54356  1.04951e-09
      2.54372  1.08774e-09
      2.54388  1.13678e-09
      2.54404  1.17486e-09
      2.54421  1.14797e-09
      2.54437  1.11010e-09
      2.54453  1.06910e-09
      2.54469  1.00488e-09
      2.54485  1.07319e-09
      2.54501  1.27561e-09
      2.54518  1.43084e-09
      2.54534  1.48820e-09
      2.54550  1.45588e-09
      2.54566  1.44766e-09
      2.54582  1.42910e-09
      2.54599  1.33575e-09
      2.54615  1.22220e-09
      2.54631  1.12150e-09
      2.54647  1.02613e-09
      2.54664  9.52446e-10
      2.54680  9.12282e-10
      2.54696  8.62631e-10
      2.54712  7.59482e-10
      2.54728  5.91972e-10
      2.54745  4.58840e-10
      2.54761  4.11230e-10
      2.54777  4.29474e-10
      2.54793  4.55750e-10
      2.54810  4.74971e-10
      2.54826  5.64511e-10
      2.54842  7.22150e-10
      2.54858  8.79816e-10
      2.54874  1.01564e-09
      2.54891  1.08504e-09
      2.54907  1.02632e-09
      2.54923  9.39033e-10
      2.54939  9.01377e-10
      2.54956  8.44403e-10
      2.54972  7.77298e-10
      2.54988  7.40327e-10
      2.55004  8.00249e-10
      2.55021  9.12331e-10
      2.55037  8.88203e-10
      2.55053  7.91023e-10
      2.55070  7.76822e-10
      2.55086  7.87642e-10
      2.55102  8.30915e-10
      2.55118  9.47672e-10
      2.55135  9.33721e-10
      2.55151  7.78625e-10
      2.55167  7.15754e-10
      2.55183  7.17187e-10
      2.55200  6.79556e-10
      2.55216  6.29036e-10
      2.55232  6.06145e-10
      2.55249  6.26167e-10
      2.55265  6.87424e-10
      2.55281  7.70089e-10
      2.55297  8.46777e-10
      2.55314  9.17412e-10
      2.55330  9.80361e-10
      2.55346  1.04064e-09
      2.55363  1.13320e-09
      2.55379  1.25909e-09
      2.55395  1.34264e-09
      2.55412  1.38382e-09
      2.55428  1.45834e-09
      2.55444  1.55086e-09
      2.55460  1.63078e-09
      2.55477  1.71732e-09
      2.55493  1.78763e-09
      2.55509  1.78266e-09
      2.55526  1.64629e-09
      2.55542  1.38056e-09
      2.55558  1.05377e-09
      2.55575  8.19023e-10
      2.55591  7.64618e-10
      2.55607  7.98014e-10
      2.55624  8.08502e-10
      2.55640  7.21079e-10
      2.55656  5.82346e-10
      2.55673  4.79429e-10
      2.55689  4.46748e-10
      2.55705  4.37127e-10
      2.55722  4.17198e-10
      2.55738  4.53928e-10
      2.55754  5.53916e-10
      2.55771  6.83233e-10
      2.55787  8.20835e-10
      2.55804  9.33549e-10
      2.55820  9.98728e-10
      2.55836  9.84749e-10
      2.55853  9.13161e-10
      2.55869  9.01968e-10
      2.55885  9.57357e-10
      2.55902  1.01401e-09
      2.55918  1.06439e-09
      2.55934  1.07937e-09
      2.55951  1.04737e-09
      2.55967  9.85023e-10
      2.55984  9.28559e-10
      2.56000  8.80115e-10
      2.56016  8.50040e-10
      2.56033  8.67920e-10
      2.56049  8.93682e-10
      2.56066  8.78570e-10
      2.56082  8.30832e-10
      2.56098  7.96833e-10
      2.56115  7.91065e-10
      2.56131  7.34492e-10
      2.56148  6.26432e-10
      2.56164  5.00332e-10
      2.56180  4.47011e-10
      2.56197  4.82615e-10
      2.56213  5.21959e-10
      2.56230  5.32837e-10
      2.56246  5.36768e-10
      2.56262  6.12557e-10
      2.56279  7.25145e-10
      2.56295  7.79970e-10
      2.56312  7.81034e-10
      2.56328  7.69204e-10
      2.56345  7.82999e-10
      2.56361  7.72247e-10
      2.56377  7.25129e-10
      2.56394  7.24218e-10
      2.56410  7.95654e-10
      2.56427  9.22984e-10
      2.56443  1.03939e-09
      2.56460  1.06885e-09
      2.56476  1.03222e-09
      2.56492  9.17573e-10
      2.56509  7.53553e-10
      2.56525  7.41796e-10
      2.56542  8.63271e-10
      2.56558  9.43893e-10
      2.56575  1.03404e-09
      2.56591  1.17318e-09
      2.56608  1.30525e-09
      2.56624  1.44345e-09
      2.56641  1.58312e-09
      2.56657  1.53412e-09
      2.56674  1.32489e-09
      2.56690  1.14200e-09
      2.56706  9.30509e-10
      2.56723  7.21284e-10
      2.56739  7.09285e-10
      2.56756  7.71208e-10
      2.56772  7.45823e-10
      2.56789  7.26461e-10
      2.56805  7.20316e-10
      2.56822  6.70661e-10
      2.56838  6.01407e-10
      2.56855  5.28492e-10
      2.56871  4.92998e-10
      2.56888  4.98406e-10
      2.56904  5.51718e-10
      2.56921  7.17400e-10
      2.56937  9.73808e-10
      2.56954  1.21186e-09
      2.56970  1.32741e-09
      2.56987  1.29889e-09
      2.57003  1.20869e-09
      2.57020  1.10274e-09
      2.57036  1.02940e-09
      2.57053  1.00904e-09
      2.57069  1.01163e-09
      2.57086  9.83876e-10
      2.57102  9.52731e-10
      2.57119  9.38394e-10
      2.57136  9.33067e-10
      2.57152  8.81593e-10
      2.57169  7.72672e-10
      2.57185  7.34021e-10
      2.57202  7.74243e-10
      2.57218  8.09860e-10
      2.57235  8.96170e-10
      2.57251  1.01111e-09
      2.57268  1.01117e-09
      2.57284  9.63109e-10
      2.57301  9.61115e-10
      2.57317  9.69908e-10
      2.57334  9.96140e-10
      2.57351  1.05495e-09
      2.57367  1.10423e-09
      2.57384  1.10126e-09
      2.57400  1.08922e-09
      2.57417  1.13884e-09
      2.57433  1.26092e-09
      2.57450  1.40981e-09
      2.57467  1.47146e-09
      2.57483  1.31498e-09
      2.57500  1.06894e-09
      2.57516  9.03449e-10
      2.57533  8.76480e-10
      2.57549  8.76770e-10
      2.57566  8.40919e-10
      2.57583  9.53954e-10
      2.57599  1.18584e-09
      2.57616  1.36217e-09
      2.57632  1.49347e-09
      2.57649  1.56882e-09
      2.57666  1.52319e-09
      2.57682  1.39151e-09
      2.57699  1.22496e-09
      2.57715  1.09993e-09
      2.57732  1.01355e-09
      2.57749  8.95422e-10
      2.57765  7.86655e-10
      2.57782  7.04145e-10
      2.57798  6.55287e-10
      2.57815  6.18390e-10
      2.57832  5.70771e-10
      2.57848  5.06641e-10
      2.57865  4.86218e-10
      2.57881  5.80029e-10
      2.57898  5.98738e-10
      2.57915  4.69152e-10
      2.57931  4.12923e-10
      2.57948  4.95408e-10
      2.57965  6.47356e-10
      2.57981  7.34681e-10
      2.57998  6.88571e-10
      2.58015  5.56924e-10
      2.58031  5.88800e-10
      2.58048  8.30862e-10
      2.58065  1.05288e-09
      2.58081  1.14800e-09
      2.58098  1.14260e-09
      2.58114  1.14924e-09
      2.58131  1.18211e-09
      2.58148  1.19979e-09
      2.58164  1.18044e-09
      2.58181  1.11116e-09
      2.58198  1.00506e-09
      2.58214  9.11315e-10
      2.58231  8.42099e-10
      2.58248  7.82876e-10
      2.58264  7.48617e-10
      2.58281  7.60768e-10
      2.58298  7.91944e-10
      2.58314  7.95176e-10
      2.58331  7.43825e-10
      2.58348  6.56267e-10
      2.58365  5.71526e-10
      2.58381  5.66282e-10
      2.58398  6.29903e-10
      2.58415  7.15731e-10
      2.58431  8.24161e-10
      2.58448  9.60450e-10
      2.58465  1.09884e-09
      2.58481  1.27268e-09
      2.58498  1.48698e-09
      2.58515  1.57071e-09
      2.58532  1.47674e-09
      2.58548  1.33082e-09
      2.58565  1.28172e-09
      2.58582  1.29332e-09
      2.58598  1.15207e-09
      2.58615  9.45570e-10
      2.58632  7.95844e-10
      2.58649  6.64835e-10
      2.58665  5.90572e-10
      2.58682  6.12114e-10
      2.58699  6.09388e-10
      2.58715  5.55199e-10
      2.58732  5.16868e-10
      2.58749  4.97934e-10
      2.58766  4.88305e-10
      2.58782  5.09105e-10
      2.58799  5.66684e-10
      2.58816  6.35669e-10
      2.58833  6.75087e-10
      2.58849  6.93079e-10
      2.58866  7.22841e-10
      2.58883  7.36070e-10
      2.58900  7.22775e-10
      2.58916  7.27067e-10
      2.58933  7.71671e-10
      2.58950  8.52885e-10
      2.58967  8.56093e-10
      2.58983  7.55882e-10
      2.59000  7.47135e-10
      2.59017  7.75290e-10
      2.59034  7.42869e-10
      2.59051  6.98578e-10
      2.59067  6.80965e-10
      2.59084  7.07594e-10
      2.59101  7.73730e-10
      2.59118  8.38332e-10
      2.59134  8.22690e-10
      2.59151  7.94511e-10
      2.59168  8.62152e-10
      2.59185  1.02357e-09
      2.59202  1.23997e-09
      2.59218  1.45761e-09
      2.59235  1.54786e-09
      2.59252  1.59776e-09
      2.59269  1.71264e-09
      2.59286  1.73385e-09
      2.59302  1.64151e-09
      2.59319  1.48983e-09
      2.59336  1.30124e-09
      2.59353  1.13523e-09
      2.59370  1.10810e-09
      2.59387  1.20231e-09
      2.59403  1.26654e-09
      2.59420  1.34012e-09
      2.59437  1.48960e-09
      2.59454  1.59998e-09
      2.59471  1.63928e-09
      2.59488  1.63465e-09
      2.59504  1.57028e-09
      2.59521  1.49099e-09
      2.59538  1.49434e-09
      2.59555  1.44653e-09
      2.59572  1.24298e-09
      2.59589  1.11502e-09
      2.59605  1.16293e-09
      2.59622  1.28507e-09
      2.59639  1.29192e-09
      2.59656  1.14839e-09
      2.59673  1.02969e-09
      2.59690  1.08674e-09
      2.59707  1.31270e-09
      2.59723  1.43356e-09
      2.59740  1.44041e-09
      2.59757  1.47493e-09
      2.59774  1.43203e-09
      2.59791  1.28496e-09
      2.59808  1.15702e-09
      2.59825  1.07134e-09
      2.59841  9.78862e-10
      2.59858  8.30749e-10
      2.59875  7.14615e-10
      2.59892  6.67848e-10
      2.59909  6.08666e-10
      2.59926  5.22318e-10
      2.59943  5.02222e-10
      2.59960  5.41240e-10
      2.59977  6.04603e-10
      2.59994  6.69064e-10
      2.60010  7.17216e-10
      2.60027  7.41278e-10
      2.60044  7.55056e-10
      2.60061  7.62881e-10
      2.60078  7.16984e-10
      2.60095  6.20683e-10
      2.60112  5.22929e-10
      2.60129  5.32161e-10
      2.60146  5.96089e-10
      2.60163  5.74989e-10
      2.60180  4.58299e-10
      2.60196  3.40863e-10
      2.60213  3.75615e-10
      2.60230  4.72631e-10
      2.60247  5.11960e-10
      2.60264  5.58537e-10
      2.60281  6.01385e-10
      2.60298  5.70853e-10
      2.60315  5.19530e-10
      2.60332  4.91688e-10
      2.60349  4.69751e-10
      2.60366  4.23728e-10
      2.60383  3.65283e-10
      2.60400  3.46023e-10
      2.60417  3.41993e-10
      2.60434  3.14564e-10
      2.60451  3.25023e-10
      2.60468  3.89919e-10
      2.60485  4.49837e-10
      2.60501  5.62135e-10
      2.60518  7.74523e-10
      2.60535  9.53758e-10
      2.60552  1.00273e-09
      2.60569  9.27963e-10
      2.60586  7.95967e-10
      2.60603  6.89111e-10
      2.60620  6.51299e-10
      2.60637  6.39535e-10
      2.60654  6.23901e-10
      2.60671  6.15617e-10
      2.60688  5.80713e-10
      2.60705  4.78423e-10
      2.60722  4.51244e-10
      2.60739  6.00002e-10
      2.60756  8.27768e-10
      2.60773  9.87080e-10
      2.60790  1.05204e-09
      2.60807  1.23143e-09
      2.60824  1.46136e-09
      2.60841  1.52465e-09
      2.60858  1.51857e-09
      2.60875  1.52965e-09
      2.60892  1.52091e-09
      2.60909  1.53912e-09
      2.60926  1.59070e-09
      2.60943  1.50773e-09
      2.60960  1.26837e-09
      2.60977  9.93588e-10
      2.60994  7.60011e-10
      2.61011  5.88025e-10
      2.61028  5.18989e-10
      2.61045  5.54276e-10
      2.61063  6.24939e-10
      2.61080  5.76565e-10
      2.61097  4.48897e-10
      2.61114  3.64066e-10
      2.61131  3.45698e-10
      2.61148  4.11694e-10
      2.61165  5.64199e-10
      2.61182  6.79979e-10
      2.61199  6.38524e-10
      2.61216  5.51457e-10
      2.61233  5.12178e-10
      2.61250  5.38594e-10
      2.61267  5.69211e-10
      2.61284  5.61363e-10
      2.61301  5.37950e-10
      2.61318  5.67809e-10
      2.61335  6.56772e-10
      2.61352  7.52418e-10
      2.61370  8.01915e-10
      2.61387  7.65759e-10
      2.61404  7.63036e-10
      2.61421  8.12163e-10
      2.61438  7.89352e-10
      2.61455  7.53702e-10
      2.61472  7.66154e-10
      2.61489  7.29355e-10
      2.61506  6.59652e-10
      2.61523  6.63403e-10
      2.61540  6.97811e-10
      2.61558  7.54182e-10
      2.61575  9.27740e-10
      2.61592  1.08603e-09
      2.61609  1.07652e-09
      2.61626  1.08650e-09
      2.61643  1.08531e-09
      2.61660  9.04188e-10
      2.61677  8.62334e-10
      2.61694  1.03967e-09
      2.61712  1.10616e-09
      2.61729  9.36315e-10
      2.61746  6.20950e-10
      2.61763  4.95901e-10
      2.61780  5.42877e-10
      2.61797  5.96770e-10
      2.61814  5.99892e-10
      2.61832  5.88910e-10
      2.61849  6.32151e-10
      2.61866  6.69179e-10
      2.61883  6.38263e-10
      2.61900  5.62235e-10
      2.61917  5.21286e-10
      2.61934  5.67440e-10
      2.61952  5.72256e-10
      2.61969  5.23871e-10
      2.61986  5.53808e-10
      2.62003  6.43527e-10
      2.62020  7.33631e-10
      2.62037  8.15245e-10
      2.62055  8.58955e-10
      2.62072  8.48954e-10
      2.62089  8.52417e-10
      2.62106  9.16974e-10
      2.62123  1.01225e-09
      2.62140  1.10808e-09
      2.62158  1.18974e-09
      2.62175  1.23064e-09
      2.62192  1.25489e-09
      2.62209  1.29653e-09
      2.62226  1.36896e-09
      2.62243  1.47139e-09
      2.62261  1.52483e-09
      2.62278  1.54203e-09
      2.62295  1.54038e-09
      2.62312  1.52018e-09
      2.62329  1.50299e-09
      2.62347  1.49685e-09
      2.62364  1.52336e-09
      2.62381  1.53937e-09
      2.62398  1.41701e-09
      2.62416  1.21413e-09
      2.62433  9.95849e-10
      2.62450  7.98716e-10
      2.62467  6.22510e-10
      2.62484  4.58548e-10
      2.62502  3.50072e-10
      2.62519  3.41797e-10
      2.62536  4.59555e-10
      2.62553  6.06704e-10
      2.62571  6.95924e-10
      2.62588  7.68954e-10
      2.62605  7.57533e-10
      2.62622  5.68057e-10
      2.62640  3.95273e-10
      2.62657  3.56716e-10
      2.62674  3.49918e-10
      2.62691  3.33610e-10
      2.62709  3.18729e-10
      2.62726  3.58397e-10
      2.62743  4.03472e-10
      2.62760  3.73678e-10
      2.62778  3.35136e-10
      2.62795  3.07394e-10
      2.62812  2.41755e-10
      2.62829  1.63376e-10
      2.62847  1.19960e-10
      2.62864  1.82222e-10
      2.62881  3.20172e-10
      2.62898  4.30673e-10
      2.62916  4.98911e-10
      2.62933  5.35928e-10
      2.62950  5.47689e-10
      2.62968  5.47830e-10
      2.62985  5.24444e-10
      2.63002  4.99307e-10
      2.63019  4.82394e-10
      2.63037  4.68508e-10
      2.63054  4.77299e-10
      2.63071  5.26721e-10
      2.63089  6.10292e-10
      2.63106  7.00408e-10
      2.63123  7.33113e-10
      2.63141  6.55815e-10
      2.63158  5.49799e-10
      2.63175  5.62589e-10
      2.63193  6.22344e-10
      2.63210  6.72237e-10
      2.63227  7.68901e-10
      2.63244  9.29905e-10
      2.63262  1.12868e-09
      2.63279  1.28851e-09
      2.63296  1.34764e-09
      2.63314  1.28896e-09
      2.63331  1.23642e-09
      2.63348  1.25663e-09
      2.63366  1.28719e-09
      2.63383  1.28240e-09
      2.63401  1.24774e-09
      2.63418  1.16366e-09
      2.63435  1.05399e-09
      2.63453  9.68871e-10
      2.63470  9.24572e-10
      2.63487  9.05691e-10
      2.63505  8.52307e-10
      2.63522  8.03444e-10
      2.63539  8.20888e-10
      2.63557  8.88257e-10
      2.63574  9.30542e-10
      2.63591  8.76832e-10
      2.63609  8.03695e-10
      2.63626  7.96319e-10
      2.63644  8.59574e-10
      2.63661  9.01698e-10
      2.63678  8.79204e-10
      2.63696  9.05807e-10
      2.63713  9.73194e-10
      2.63730  1.00093e-09
      2.63748  1.01129e-09
      2.63765  1.00118e-09
      2.63783  9.34125e-10
      2.63800  8.46505e-10
      2.63817  7.72695e-10
      2.63835  7.27839e-10
      2.63852  7.43361e-10
      2.63870  8.21455e-10
      2.63887  9.20194e-10
      2.63904  1.00728e-09
      2.63922  1.06268e-09
      2.63939  1.01906e-09
      2.63957  8.72354e-10
      2.63974  7.94760e-10
      2.63992  7.70129e-10
      2.64009  6.92575e-10
      2.64026  6.52544e-10
      2.64044  6.58957e-10
      2.64061  5.94954e-10
      2.64079  4.84223e-10
      2.64096  3.83024e-10
      2.64114  3.00886e-10
      2.64131  2.38229e-10
      2.64148  1.91008e-10
      2.64166  1.76610e-10
      2.64183  1.88742e-10
      2.64201  2.01127e-10
      2.64218  2.10833e-10
      2.64236  2.16561e-10
      2.64253  2.28684e-10
      2.64271  2.62232e-10
      2.64288  3.27001e-10
      2.64306  4.23048e-10
      2.64323  5.14808e-10
      2.64340  5.54984e-10
      2.64358  5.85048e-10
      2.64375  6.49443e-10
      2.64393  7.22403e-10
      2.64410  7.43094e-10
      2.64428  6.88032e-10
      2.64445  6.21030e-10
      2.64463  5.70764e-10
      2.64480  5.22926e-10
      2.64498  4.92744e-10
      2.64515  4.91651e-10
      2.64533  4.84935e-10
      2.64550  4.53964e-10
      2.64568  4.14586e-10
      2.64585  3.69327e-10
      2.64603  3.17345e-10
      2.64620  2.60762e-10
      2.64638  2.21460e-10
      2.64655  2.16263e-10
      2.64673  2.49142e-10
      2.64690  3.12651e-10
      2.64708  3.90136e-10
      2.64725  4.46831e-10
      2.64743  4.41166e-10
      2.64760  3.82473e-10
      2.64778  3.35324e-10
      2.64795  3.43317e-10
      2.64813  3.71156e-10
      2.64831  4.13238e-10
      2.64848  4.85657e-10
      2.64866  4.98478e-10
      2.64883  4.57843e-10
      2.64901  5.11039e-10
      2.64918  5.98660e-10
      2.64936  6.36413e-10
      2.64953  6.84587e-10
      2.64971  7.09968e-10
      2.64988  6.55080e-10
      2.65006  6.35102e-10
      2.65024  6.48642e-10
      2.65041  5.72622e-10
      2.65059  4.82461e-10
      2.65076  4.49844e-10
      2.65094  4.15004e-10
      2.65111  3.60264e-10
      2.65129  3.01303e-10
      2.65146  2.47980e-10
      2.65164  2.00241e-10
      2.65182  1.55808e-10
      2.65199  1.28308e-10
      2.65217  1.28855e-10
      2.65234  1.58227e-10
      2.65252  1.87527e-10
      2.65270  1.80663e-10
      2.65287  1.60278e-10
      2.65305  1.48685e-10
      2.65322  1.50352e-10
      2.65340  1.65466e-10
      2.65358  1.95871e-10
      2.65375  2.20599e-10
      2.65393  2.18671e-10
      2.65410  1.94996e-10
      2.65428  1.60593e-10
      2.65446  1.40610e-10
      2.65463  1.75291e-10
      2.65481  2.14686e-10
      2.65498  2.06998e-10
      2.65516  1.93570e-10
      2.65534  2.03864e-10
      2.65551  2.33535e-10
      2.65569  2.38308e-10
      2.65587  2.15789e-10
      2.65604  2.03267e-10
      2.65622  2.15612e-10
      2.65640  2.55887e-10
      2.65657  3.07477e-10
      2.65675  3.61508e-10
      2.65692  4.09960e-10
      2.65710  4.22746e-10
      2.65728  3.86079e-10
      2.65745  3.34399e-10
      2.65763  2.93575e-10
      2.65781  2.69380e-10
      2.65798  2.58497e-10
      2.65816  2.62691e-10
      2.65834  2.84516e-10
      2.65851  3.28424e-10
      2.65869  3.93181e-10
      2.65887  4.30924e-10
      2.65904  4.65623e-10
      2.65922  5.41576e-10
      2.65940  6.32191e-10
      2.65957  6.74540e-10
      2.65975  6.31436e-10
      2.65993  6.11039e-10
      2.66010  6.49162e-10
      2.66028  6.69953e-10
      2.66046  6.78834e-10
      2.66064  6.85504e-10
      2.66081  6.06510e-10
      2.66099  5.25829e-10
      2.66117  5.73490e-10
      2.66134  6.09201e-10
      2.66152  5.79438e-10
      2.66170  5.87623e-10
      2.66188  6.18283e-10
      2.66205  6.17491e-10
      2.66223  6.44085e-10
      2.66241  7.00875e-10
      2.66258  7.43122e-10
      2.66276  7.15994e-10
      2.66294  6.63056e-10
      2.66312  7.19298e-10
      2.66329  7.66949e-10
      2.66347  7.27981e-10
      2.66365  7.39504e-10
      2.66383  7.94694e-10
      2.66400  8.06151e-10
      2.66418  7.29611e-10
      2.66436  6.06937e-10
      2.66454  5.40569e-10
      2.66471  5.21116e-10
      2.66489  4.96567e-10
      2.66507  4.59104e-10
      2.66525  4.14068e-10
      2.66542  3.69675e-10
      2.66560  3.45653e-10
      2.66578  3.46553e-10
      2.66596  3.66170e-10
      2.66613  3.75726e-10
      2.66631  3.73247e-10
      2.66649  4.19934e-10
