     0.360 -28.6219 -28.6392 -28.6579 -28.6788 -28.7024 -28.7291 -28.7597 -28.7946 -28.8340 -28.8799 -28.9313 -28.9902 -29.0566 -29.1311 -29.2128 -29.3026 -29.3994 -29.5017 -29.6080 -29.7173 -29.8282 -29.9382 -30.0465 -30.1516 -30.2516 -30.3462 -30.4347 -30.5162 -30.5915 -30.6596 -30.7216 -30.7777 -30.8281 -30.8738 -30.9154 -30.9524 -30.9864 -31.0171 -31.0451 -31.0706 -31.0940 -31.1151 -31.1344 -31.1524 -31.1686 -31.1836 -31.1975 -31.2102 -31.2222 -31.2331 -31.2433 -31.2528 -31.2614 -31.2696 -31.2772 -31.2841 -31.2907 -31.2971 -31.3028 -31.3085 -31.3137 -31.3185 -31.3231 -31.3275
     0.450 -28.7390 -28.7564 -28.7750 -28.7960 -28.8195 -28.8463 -28.8769 -28.9117 -28.9511 -28.9971 -29.0485 -29.1074 -29.1738 -29.2482 -29.3300 -29.4198 -29.5166 -29.6189 -29.7251 -29.8344 -29.9453 -30.0554 -30.1637 -30.2688 -30.3687 -30.4633 -30.5518 -30.6334 -30.7086 -30.7767 -30.8387 -30.8948 -30.9453 -30.9909 -31.0325 -31.0695 -31.1035 -31.1342 -31.1622 -31.1877 -31.2111 -31.2322 -31.2516 -31.2695 -31.2857 -31.3007 -31.3146 -31.3273 -31.3393 -31.3503 -31.3604 -31.3699 -31.3785 -31.3867 -31.3943 -31.4013 -31.4079 -31.4143 -31.4199 -31.4256 -31.4308 -31.4356 -31.4402 -31.4446
     0.580 -28.8492 -28.8666 -28.8852 -28.9062 -28.9297 -28.9565 -28.9871 -29.0219 -29.0613 -29.1073 -29.1587 -29.2176 -29.2840 -29.3584 -29.4402 -29.5300 -29.6267 -29.7290 -29.8353 -29.9446 -30.0555 -30.1656 -30.2738 -30.3789 -30.4789 -30.5735 -30.6620 -30.7435 -30.8187 -30.8869 -30.9488 -31.0050 -31.0554 -31.1010 -31.1426 -31.1797 -31.2136 -31.2444 -31.2724 -31.2978 -31.3212 -31.3424 -31.3617 -31.3796 -31.3958 -31.4109 -31.4247 -31.4374 -31.4495 -31.4604 -31.4705 -31.4800 -31.4887 -31.4968 -31.5044 -31.5114 -31.5180 -31.5244 -31.5301 -31.5358 -31.5410 -31.5458 -31.5504 -31.5548
     0.750 -28.9217 -28.9390 -28.9577 -28.9786 -29.0022 -29.0290 -29.0595 -29.0944 -29.1338 -29.1797 -29.2311 -29.2900 -29.3564 -29.4309 -29.5126 -29.6024 -29.6992 -29.8015 -29.9077 -30.0170 -30.1279 -30.2380 -30.3462 -30.4513 -30.5513 -30.6458 -30.7343 -30.8158 -30.8911 -30.9592 -31.0212 -31.0773 -31.1277 -31.1734 -31.2150 -31.2520 -31.2859 -31.3167 -31.3447 -31.3701 -31.3935 -31.4147 -31.4340 -31.4520 -31.4681 -31.4832 -31.4971 -31.5097 -31.5218 -31.5327 -31.5429 -31.5523 -31.5610 -31.5692 -31.5767 -31.5837 -31.5903 -31.5967 -31.6024 -31.6081 -31.6133 -31.6181 -31.6227 -31.6271
     1.000 -29.0041 -29.0214 -29.0401 -29.0610 -29.0846 -29.1113 -29.1419 -29.1768 -29.2162 -29.2621 -29.3135 -29.3724 -29.4388 -29.5132 -29.5950 -29.6848 -29.7815 -29.8838 -29.9900 -30.0993 -30.2102 -30.3202 -30.4285 -30.5336 -30.6335 -30.7281 -30.8166 -30.8981 -30.9733 -31.0414 -31.1033 -31.1595 -31.2099 -31.2555 -31.2971 -31.3341 -31.3681 -31.3988 -31.4268 -31.4523 -31.4757 -31.4968 -31.5162 -31.5341 -31.5503 -31.5653 -31.5792 -31.5919 -31.6039 -31.6149 -31.6250 -31.6345 -31.6431 -31.6513 -31.6589 -31.6659 -31.6724 -31.6788 -31.6845 -31.6902 -31.6954 -31.7002 -31.7048 -31.7092
     1.280 -29.0324 -29.0497 -29.0684 -29.0893 -29.1129 -29.1397 -29.1702 -29.2051 -29.2445 -29.2904 -29.3418 -29.4007 -29.4671 -29.5415 -29.6233 -29.7130 -29.8098 -29.9121 -30.0183 -30.1276 -30.2384 -30.3484 -30.4567 -30.5617 -30.6616 -30.7562 -30.8447 -30.9261 -31.0014 -31.0694 -31.1314 -31.1875 -31.2379 -31.2836 -31.3252 -31.3622 -31.3961 -31.4269 -31.4548 -31.4803 -31.5037 -31.5248 -31.5442 -31.5621 -31.5783 -31.5933 -31.6072 -31.6199 -31.6319 -31.6429 -31.6530 -31.6625 -31.6711 -31.6793 -31.6869 -31.6939 -31.7005 -31.7069 -31.7125 -31.7182 -31.7234 -31.7282 -31.7328 -31.7372
     1.650 -28.9717 -28.9890 -29.0077 -29.0286 -29.0522 -29.0789 -29.1095 -29.1444 -29.1837 -29.2297 -29.2811 -29.3400 -29.4064 -29.4808 -29.5625 -29.6523 -29.7490 -29.8513 -29.9575 -30.0668 -30.1777 -30.2876 -30.3959 -30.5009 -30.6008 -30.6953 -30.7838 -30.8653 -30.9405 -31.0086 -31.0705 -31.1266 -31.1770 -31.2227 -31.2643 -31.3013 -31.3352 -31.3660 -31.3939 -31.4194 -31.4428 -31.4639 -31.4833 -31.5012 -31.5174 -31.5324 -31.5463 -31.5590 -31.5710 -31.5820 -31.5921 -31.6016 -31.6102 -31.6184 -31.6260 -31.6330 -31.6396 -31.6459 -31.6516 -31.6573 -31.6625 -31.6673 -31.6719 -31.6763
     2.120 -28.8528 -28.8702 -28.8888 -28.9098 -28.9333 -28.9601 -28.9906 -29.0255 -29.0649 -29.1108 -29.1622 -29.2211 -29.2875 -29.3619 -29.4437 -29.5334 -29.6302 -29.7324 -29.8387 -29.9479 -30.0588 -30.1688 -30.2770 -30.3820 -30.4819 -30.5765 -30.6649 -30.7464 -30.8216 -30.8897 -30.9516 -31.0077 -31.0581 -31.1038 -31.1454 -31.1824 -31.2163 -31.2471 -31.2751 -31.3005 -31.3239 -31.3450 -31.3644 -31.3823 -31.3985 -31.4135 -31.4274 -31.4401 -31.4521 -31.4631 -31.4732 -31.4827 -31.4913 -31.4995 -31.5071 -31.5141 -31.5207 -31.5271 -31.5327 -31.5384 -31.5436 -31.5484 -31.5530 -31.5574
     2.700 -28.7850 -28.8023 -28.8210 -28.8419 -28.8655 -28.8923 -28.9228 -28.9577 -28.9970 -29.0430 -29.0944 -29.1533 -29.2197 -29.2941 -29.3758 -29.4656 -29.5623 -29.6646 -29.7708 -29.8800 -29.9909 -30.1009 -30.2091 -30.3141 -30.4140 -30.5085 -30.5970 -30.6784 -30.7536 -30.8217 -30.8836 -30.9397 -30.9901 -31.0358 -31.0773 -31.1144 -31.1483 -31.1790 -31.2070 -31.2325 -31.2559 -31.2770 -31.2963 -31.3143 -31.3305 -31.3455 -31.3594 -31.3721 -31.3841 -31.3950 -31.4052 -31.4146 -31.4233 -31.4315 -31.4391 -31.4460 -31.4526 -31.4590 -31.4647 -31.4704 -31.4756 -31.4804 -31.4850 -31.4894
     3.200 -28.7580 -28.7753 -28.7940 -28.8149 -28.8385 -28.8652 -28.8958 -28.9306 -28.9700 -29.0160 -29.0674 -29.1262 -29.1926 -29.2670 -29.3487 -29.4385 -29.5352 -29.6375 -29.7437 -29.8529 -29.9637 -30.0737 -30.1819 -30.2869 -30.3867 -30.4812 -30.5697 -30.6511 -30.7263 -30.7943 -30.8562 -30.9123 -30.9627 -31.0084 -31.0499 -31.0869 -31.1209 -31.1516 -31.1796 -31.2051 -31.2285 -31.2496 -31.2689 -31.2869 -31.3031 -31.3181 -31.3320 -31.3447 -31.3567 -31.3676 -31.3778 -31.3872 -31.3959 -31.4041 -31.4116 -31.4186 -31.4252 -31.4316 -31.4373 -31.4430 -31.4482 -31.4530 -31.4576 -31.4620
     3.250 -28.7536 -28.7709 -28.7896 -28.8105 -28.8340 -28.8608 -28.8913 -28.9261 -28.9655 -29.0114 -29.0627 -29.1216 -29.1879 -29.2622 -29.3439 -29.4335 -29.5301 -29.6323 -29.7383 -29.8474 -29.9581 -30.0678 -30.1758 -30.2806 -30.3803 -30.4745 -30.5628 -30.6440 -30.7190 -30.7869 -30.8487 -30.9047 -30.9550 -31.0006 -31.0421 -31.0791 -31.1130 -31.1437 -31.1717 -31.1972 -31.2205 -31.2417 -31.2610 -31.2789 -31.2951 -31.3101 -31.3240 -31.3367 -31.3487 -31.3597 -31.3698 -31.3793 -31.3879 -31.3961 -31.4037 -31.4107 -31.4173 -31.4236 -31.4293 -31.4350 -31.4402 -31.4450 -31.4496 -31.4540
     3.300 -28.7434 -28.7606 -28.7791 -28.8000 -28.8234 -28.8499 -28.8803 -28.9149 -28.9540 -28.9996 -29.0506 -29.1091 -29.1750 -29.2488 -29.3298 -29.4188 -29.5146 -29.6158 -29.7208 -29.8287 -29.9381 -30.0465 -30.1530 -30.2562 -30.3544 -30.4471 -30.5339 -30.6139 -30.6877 -30.7546 -30.8156 -30.8708 -30.9206 -30.9657 -31.0069 -31.0436 -31.0773 -31.1078 -31.1357 -31.1610 -31.1843 -31.2054 -31.2247 -31.2426 -31.2588 -31.2738 -31.2876 -31.3003 -31.3123 -31.3233 -31.3334 -31.3429 -31.3515 -31.3597 -31.3673 -31.3743 -31.3809 -31.3872 -31.3929 -31.3986 -31.4038 -31.4086 -31.4132 -31.4176
     3.350 -28.7512 -28.7685 -28.7871 -28.8081 -28.8316 -28.8583 -28.8888 -28.9237 -28.9630 -29.0089 -29.0603 -29.1191 -29.1854 -29.2598 -29.3414 -29.4311 -29.5277 -29.6298 -29.7359 -29.8449 -29.9556 -30.0654 -30.1734 -30.2782 -30.3778 -30.4721 -30.5603 -30.6416 -30.7166 -30.7845 -30.8463 -30.9023 -30.9526 -30.9982 -31.0397 -31.0767 -31.1106 -31.1413 -31.1693 -31.1947 -31.2181 -31.2392 -31.2586 -31.2765 -31.2927 -31.3077 -31.3216 -31.3343 -31.3463 -31.3572 -31.3674 -31.3768 -31.3855 -31.3937 -31.4013 -31.4082 -31.4148 -31.4212 -31.4269 -31.4326 -31.4378 -31.4426 -31.4472 -31.4516
     3.500 -28.7485 -28.7658 -28.7844 -28.8054 -28.8289 -28.8557 -28.8862 -28.9211 -28.9605 -29.0064 -29.0578 -29.1167 -29.1830 -29.2574 -29.3392 -29.4289 -29.5256 -29.6279 -29.7340 -29.8433 -29.9541 -30.0640 -30.1722 -30.2772 -30.3770 -30.4715 -30.5599 -30.6413 -30.7165 -30.7845 -30.8464 -30.9025 -30.9529 -30.9985 -31.0401 -31.0771 -31.1110 -31.1418 -31.1698 -31.1952 -31.2186 -31.2397 -31.2591 -31.2770 -31.2932 -31.3082 -31.3221 -31.3348 -31.3468 -31.3578 -31.3679 -31.3774 -31.3860 -31.3942 -31.4018 -31.4088 -31.4154 -31.4218 -31.4274 -31.4331 -31.4383 -31.4431 -31.4477 -31.4521
     3.600 -28.7423 -28.7597 -28.7783 -28.7992 -28.8228 -28.8496 -28.8801 -28.9150 -28.9543 -29.0003 -29.0517 -29.1105 -29.1769 -29.2513 -29.3330 -29.4228 -29.5195 -29.6217 -29.7279 -29.8371 -29.9479 -30.0579 -30.1660 -30.2710 -30.3708 -30.4653 -30.5537 -30.6351 -30.7103 -30.7783 -30.8403 -30.8963 -30.9467 -30.9923 -31.0339 -31.0709 -31.1048 -31.1356 -31.1636 -31.1890 -31.2124 -31.2335 -31.2529 -31.2708 -31.2870 -31.3020 -31.3159 -31.3286 -31.3406 -31.3516 -31.3617 -31.3712 -31.3798 -31.3880 -31.3956 -31.4026 -31.4092 -31.4156 -31.4212 -31.4269 -31.4321 -31.4369 -31.4415 -31.4459
     4.500 -28.7577 -28.7750 -28.7937 -28.8146 -28.8382 -28.8649 -28.8955 -28.9303 -28.9697 -29.0156 -29.0670 -29.1258 -29.1922 -29.2666 -29.3483 -29.4380 -29.5347 -29.6369 -29.7430 -29.8522 -29.9630 -30.0729 -30.1810 -30.2859 -30.3857 -30.4801 -30.5685 -30.6498 -30.7249 -30.7929 -30.8548 -30.9109 -30.9612 -31.0068 -31.0484 -31.0854 -31.1193 -31.1501 -31.1780 -31.2035 -31.2269 -31.2480 -31.2673 -31.2853 -31.3015 -31.3165 -31.3304 -31.3431 -31.3551 -31.3660 -31.3762 -31.3856 -31.3943 -31.4025 -31.4100 -31.4170 -31.4236 -31.4300 -31.4357 -31.4414 -31.4466 -31.4514 -31.4560 -31.4604
     5.000 -28.7723 -28.7896 -28.8082 -28.8292 -28.8527 -28.8794 -28.9100 -28.9448 -28.9842 -29.0301 -29.0814 -29.1403 -29.2066 -29.2810 -29.3626 -29.4523 -29.5490 -29.6511 -29.7572 -29.8663 -29.9770 -30.0868 -30.1949 -30.2997 -30.3994 -30.4938 -30.5820 -30.6633 -30.7384 -30.8063 -30.8682 -30.9242 -30.9745 -31.0201 -31.0616 -31.0986 -31.1325 -31.1633 -31.1912 -31.2167 -31.2401 -31.2612 -31.2805 -31.2985 -31.3146 -31.3297 -31.3436 -31.3563 -31.3683 -31.3792 -31.3894 -31.3988 -31.4075 -31.4156 -31.4232 -31.4302 -31.4368 -31.4432 -31.4489 -31.4546 -31.4598 -31.4646 -31.4692 -31.4736
     5.120 -28.7745 -28.7918 -28.8104 -28.8314 -28.8549 -28.8816 -28.9121 -28.9469 -28.9862 -29.0320 -29.0833 -29.1421 -29.2083 -29.2825 -29.3641 -29.4536 -29.5501 -29.6521 -29.7579 -29.8668 -29.9772 -30.0867 -30.1945 -30.2990 -30.3984 -30.4924 -30.5803 -30.6614 -30.7361 -30.8039 -30.8655 -30.9214 -30.9716 -31.0171 -31.0585 -31.0954 -31.1293 -31.1600 -31.1879 -31.2134 -31.2367 -31.2579 -31.2772 -31.2951 -31.3113 -31.3263 -31.3402 -31.3529 -31.3649 -31.3758 -31.3860 -31.3954 -31.4041 -31.4123 -31.4199 -31.4268 -31.4334 -31.4398 -31.4455 -31.4512 -31.4564 -31.4612 -31.4658 -31.4702
     5.140 -28.7754 -28.7927 -28.8113 -28.8322 -28.8557 -28.8825 -28.9130 -28.9478 -28.9871 -29.0329 -29.0842 -29.1430 -29.2093 -29.2835 -29.3651 -29.4547 -29.5512 -29.6532 -29.7591 -29.8680 -29.9785 -30.0881 -30.1959 -30.3004 -30.3999 -30.4940 -30.5820 -30.6631 -30.7379 -30.8057 -30.8674 -30.9233 -30.9735 -31.0190 -31.0605 -31.0974 -31.1313 -31.1620 -31.1900 -31.2154 -31.2388 -31.2599 -31.2792 -31.2971 -31.3133 -31.3283 -31.3422 -31.3549 -31.3669 -31.3779 -31.3880 -31.3975 -31.4061 -31.4143 -31.4219 -31.4289 -31.4355 -31.4418 -31.4475 -31.4532 -31.4584 -31.4632 -31.4678 -31.4722
