Name,agn_frac,agn_frac_mir,alpha,chi2,lir_total,norm
ESO479-G031,0.3725,0.75,1.875,0.468961271762,9.71644440826,0.0168136951833
ESO490-IG026,0.2889,0.7,1.75,9.87968676029,11.0196815743,0.194037190486
ESO499-G041,0.363,0.7,2.125,2.56027120271,10.0109122616,0.195121362604
ESO506-G027,0.5471,0.8,2.8125,19.7505141455,10.8675124401,0.815539462945
ESO509-G038,0.3413,0.7,2.0,7.80031396511,10.5296748785,0.118099861881
ESO509-IG066NED01,0.2221,0.55,2.0625,17.6985367001,10.9736800162,0.191763821116
ESO511-G030,0.0964,0.25,3.9375,12.9979758909,10.4705255819,0.483917628809
ESO533-G050,0.0,0.0,3.9375,53.3076023393,10.0325626978,0.115959173142
ESO548-G081,0.4229,0.75,2.125,30.1222552175,10.4409362707,0.425415696752
ESO549-G049,0.0,0.0,1.8125,28.2885170794,11.1060779523,0.150950171211
ESO553-G022,0.1759,0.4,3.9375,6.88725186896,10.3646811508,0.109863874268
ESO565-G019,0.0168,0.1,1.625,18.0742930037,10.617044624,0.0654289108252
ESO578-G009,0.1078,0.3,2.4375,16.0769906297,10.5775718929,0.12065403307
Fairall1146,0.5286,0.85,1.875,4.73780845812,11.2782131929,0.373495381934
Fairall272,0.2044,0.55,1.9375,15.232769535,10.4663602054,0.110089488244
Fairall49,0.4505,0.85,1.5625,10.2003485373,11.2095438087,0.285549230054
Fairall51,0.5126,0.85,1.8125,13.2138702125,10.7598524908,0.483709246471
Fairall9,0.7791,0.95,1.8125,22.2973975431,11.5968534239,0.327606601694
HB890241+622,0.7899,0.95,1.875,278.078835283,11.5055147131,0.35863236356
IC0486,0.2135,0.55,2.0,6.11271245698,10.776667997,0.173276409441
IC1657,0.0,0.0,2.0625,39.5740058486,10.3425710285,0.277945322644
IC1816,0.1652,0.5,1.875,21.4489808072,10.5839404072,0.193029847237
IC2461,0.0,0.0,2.375,17.167671846,9.51623660491,0.309916493782
IC2637,0.0,0.0,1.875,35.3461359044,11.0494833302,0.132907580568
IC2921,0.7083,0.9,2.3125,4.50244037789,10.7581661014,0.135242220152
IC4329A,0.7445,0.95,1.625,15.2038697331,11.0797909939,0.496587530403
IC4518A,0.104,0.4,1.75,4.78957465776,10.9190091256,0.273689416009
IC4709,0.363,0.7,2.125,9.44797449177,10.3015775593,0.217646708523
IC5063,0.6541,0.9,1.9375,17.7353171,11.0068420927,1.97226855017
IGRJ11366-6002,0.1229,0.4,1.9375,4.55163032201,10.1760690977,0.124126935205
IGRJ23308+7120,0.0576,0.2,2.125,7.97753584683,10.5615963973,0.0593570455029
IISZ010,0.833,0.95,2.25,10.4499850661,10.6406756397,0.165054061047
IIZw083,0.6404,0.9,1.875,6.33120277683,11.3147408469,0.506858310168
IRAS03219+4031,0.0,0.0,1.5625,7.78792058105,11.1847629503,0.0190559847122
IRAS04124-0803,0.7445,0.95,1.625,3.98875204262,11.4024134398,0.178759577246
IRAS05078+1626,0.5799,0.9,1.625,11.9775024304,10.783764399,0.185176456832
IRAS05218-1212,0.7561,0.95,1.6875,6.81835961725,11.3534691353,0.117848861146
IRAS05589+2828,0.5799,0.9,1.625,13.4713812353,11.243641854,0.153220739533
KAZ320,0.5799,0.9,1.625,4.72162829921,10.8675997712,0.0588442923751
KUG1141+371,0.6294,0.85,2.75,2.72567484614,10.2595604663,0.0840792428366
KUG1208+386,0.7791,0.95,1.8125,2.94778487263,10.4544764493,0.104086324604
LCRSB034324.7-394349,0.7083,0.9,2.3125,5.11464606882,10.8986540709,0.198374239594
LCRSB232242.2-384320,0.0241,0.1,2.0,23.3643102327,10.702342082,0.0608213311179
LEDA170194,0.363,0.7,2.125,2.89494520676,10.7961079696,0.140210034845
LEDA214543,0.4623,0.75,2.5,8.38297550501,10.3701848117,0.119716491539
LEDA38038,0.4259,0.85,1.4375,10.4731270136,11.2560648887,0.0968232370554
M106,0.0,0.0,2.5625,15.5493423685,9.90148629188,10.5939472174
MCG+00-09-042,0.0,0.0,1.75,45.0917484091,10.9595901846,0.104547453333
MCG+01-57-016,0.3159,0.7,1.875,4.4540754531,10.7457000962,0.151679223785
MCG+02-21-013,0.0,0.0,2.1875,9.32756263301,10.7539867908,0.110663403288
MCG+02-57-002,0.2289,0.6,1.875,31.18504236,10.5616196327,0.0668264233417
MCG+04-22-042,0.7424,0.9,3.9375,18.0095559183,10.844104568,0.692009446409
MCG+04-48-002,0.0,0.0,1.8125,19.3557503133,10.9243416386,0.362058839917
MCG+05-03-013,0.0,0.0,2.1875,19.4851756379,10.8507255846,0.126539746967
MCG+05-28-032,0.1393,0.45,1.875,9.5587580605,10.5023672401,0.0826216706631
MCG+06-16-028,0.3286,0.75,1.6875,13.3617259007,10.7535409914,0.227420925592
MCG+06-24-008,0.0,0.0,2.0625,39.9922789207,10.4600989372,0.0760831057498
MCG+06-49-019,0.2076,0.45,3.9375,12.999570132,9.9587352979,0.176310629431
MCG+08-11-011,0.5806,0.85,2.125,18.8026956739,11.3101096268,1.68193075688
MCG+11-11-032,0.4115,0.7,2.75,4.49276750743,10.4382454007,0.130251878311
MCG+12-10-067,0.1768,0.45,2.25,9.37739363106,10.972995173,0.270000247946
MCG-01-05-047,0.0149,0.05,2.5,18.7378824503,10.7158624478,0.684824392089
