# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
 21.09  0.89699E+00    39
 21.10  0.90398E+00    41
 21.11  0.91099E+00    43
 21.12  0.91800E+00    44
 21.13  0.92830E+00    45
 21.14  0.93862E+00    45
 21.15  0.94862E+00    43
 21.16  0.95895E+00    42
 21.17  0.96600E+00    39
 21.18  0.97305E+00    37
 21.19  0.97351E+00    34
 21.20  0.97397E+00    32
 21.21  0.97443E+00    31
 21.22  0.97489E+00    30
 21.23  0.97865E+00    30
 21.24  0.97912E+00    32
 21.25  0.98289E+00    34
 21.26  0.98997E+00    37
 21.27  0.99375E+00    40
 21.28  0.99422E+00    42
 21.29  0.99468E+00    44
 21.30  0.98852E+00    46
 21.31  0.98234E+00    47
 21.32  0.97284E+00    48
 21.33  0.96001E+00    49
 21.34  0.95381E+00    48
 21.35  0.94429E+00    47
 21.36  0.93808E+00    46
 21.37  0.93519E+00    43
 21.38  0.93230E+00    40
 21.39  0.92940E+00    37
 21.40  0.92650E+00    34
 21.41  0.92360E+00    32
 21.42  0.92070E+00    31
 21.43  0.91445E+00    30
 21.44  0.91154E+00    29
 21.45  0.90862E+00    28
 21.46  0.90905E+00    27
 21.47  0.91616E+00    27
 21.48  0.92328E+00    26
 21.49  0.93375E+00    26
 21.50  0.94757E+00    25
 21.51  0.96141E+00    25
 21.52  0.97191E+00    26
 21.53  0.98243E+00    27
 21.54  0.98959E+00    28
 21.55  0.99341E+00    30
 21.56  0.99722E+00    31
 21.57  0.99769E+00    32
 21.58  0.99815E+00    32
 21.59  0.99861E+00    32
 21.60  0.99907E+00    32
 21.61  0.99954E+00    32
 21.62  0.10000E+01    32
 21.63  0.99373E+00    31
 21.64  0.99081E+00    31
 21.65  0.98116E+00    31
 21.66  0.96812E+00    30
 21.67  0.95507E+00    30
 21.68  0.93862E+00    29
 21.69  0.92217E+00    29
 21.70  0.90908E+00    28
 21.71  0.89935E+00    27
 21.72  0.89300E+00    27
 21.73  0.88664E+00    28
 21.74  0.88705E+00    29
 21.75  0.88746E+00    30
 21.76  0.88787E+00    32
 21.77  0.89167E+00    33
 21.78  0.89208E+00    35
 21.79  0.89248E+00    36
 21.80  0.89289E+00    38
 21.81  0.89670E+00    38
 21.82  0.90391E+00    38
 21.83  0.91112E+00    37
 21.84  0.92514E+00    36
 21.85  0.93578E+00    35
 21.86  0.95289E+00    33
 21.87  0.97035E+00    32
 21.88  0.98102E+00    31
 21.89  0.99169E+00    31
 21.90  0.99897E+00    31
 21.91  0.99601E+00    31
 21.92  0.99305E+00    31
 21.93  0.98667E+00    32
 21.94  0.97687E+00    33
 21.95  0.97048E+00    34
 21.96  0.96408E+00    35
 21.97  0.95768E+00    37
 21.98  0.95469E+00    38
 21.99  0.95170E+00    39
 22.00  0.94871E+00    39
 22.01  0.94914E+00    39
 22.02  0.94614E+00    38
 22.03  0.94314E+00    37
 22.04  0.93671E+00    36
 22.05  0.93370E+00    34
 22.06  0.92725E+00    32
 22.07  0.92079E+00    30
 22.08  0.91812E+00    28
 22.09  0.91509E+00    26
 22.10  0.91207E+00    25
 22.11  0.91248E+00    23
 22.12  0.90945E+00    22
 22.13  0.90986E+00    21
 22.14  0.90682E+00    20
 22.15  0.90033E+00    20
 22.16  0.89729E+00    20
 22.17  0.89079E+00    20
 22.18  0.88428E+00    20
 22.19  0.88122E+00    21
 22.20  0.87470E+00    23
 22.21  0.87164E+00    24
 22.22  0.87203E+00    25
 22.23  0.87242E+00    26
 22.24  0.87282E+00    26
 22.25  0.87321E+00    26
 22.26  0.87014E+00    25
 22.27  0.86706E+00    24
