# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W2     RSR     uncertainty (parts per thousand)
  3.50  0.10699E-06   534
  3.51  0.13918E-06   534
  3.52  0.12550E-06   535
  3.53  0.13675E-06   534
  3.54  0.11893E-06   535
  3.55  0.20538E-06   534
  3.56  0.32678E-06   534
  3.57  0.20500E-05   632
  3.58  0.57101E-06   534
  3.59  0.84348E-06   534
  3.60  0.67489E-06   534
  3.61  0.11685E-05   534
  3.62  0.12100E-05   534
  3.63  0.14218E-05   534
  3.64  0.11096E-05   534
  3.65  0.11158E-05   534
  3.66  0.72023E-06   535
  3.67  0.12498E-05   534
  3.68  0.44135E-09  1000
  3.69  0.12102E-07   707
  3.70  0.12019E-07   707
  3.71  0.15241E-07   707
  3.72  0.28408E-07   707
  3.73  0.35901E-07   707
  3.74  0.50315E-07   707
  3.75  0.12535E-06   707
  3.76  0.92907E-07   707
  3.77  0.13355E-06   707
  3.78  0.32721E-06   707
  3.79  0.38795E-06   707
  3.80  0.14102E-05   707
  3.81  0.22956E-05   707
  3.82  0.38819E-05   707
  3.83  0.51099E-05   707
  3.84  0.76388E-05   707
  3.85  0.12759E-04   707
  3.86  0.20214E-04   707
  3.87  0.23550E-04   534
  3.88  0.50535E-04   707
  3.89  0.10825E-03   707
  3.90  0.15454E-03   707
  3.91  0.22341E-03   533
  3.92  0.41750E-03   534
  3.93  0.56834E-03   534
  3.94  0.44113E-03   535
  3.95  0.13124E-02   707
  3.96  0.92633E-02    68
  3.97  0.11478E-01    53
  3.98  0.14509E-01    36
  3.99  0.18672E-01    26
  4.00  0.24421E-01    27
  4.01  0.34426E-01    33
  4.02  0.50556E-01    36
  4.03  0.75032E-01    37
  4.04  0.11001E+00    37
  4.05  0.15701E+00    37
  4.06  0.22467E+00    35
  4.07  0.30650E+00    33
  4.08  0.39712E+00    31
  4.09  0.49391E+00    28
  4.10  0.58894E+00    23
  4.11  0.67269E+00    19
  4.12  0.74154E+00    15
  4.13  0.79761E+00    12
  4.14  0.83857E+00    10
  4.15  0.86313E+00     9
  4.16  0.88066E+00     9
  4.17  0.89111E+00     8
  4.18  0.89564E+00     7
  4.19  0.89539E+00     6
  4.20  0.89392E+00     6
  4.21  0.88884E+00     7
  4.22  0.88251E+00     9
  4.23  0.87614E+00    10
  4.24  0.87700E+00    10
  4.25  0.88028E+00     8
  4.26  0.88114E+00     7
  4.27  0.87832E+00     8
  4.28  0.87794E+00     9
  4.29  0.88121E+00     9
  4.30  0.88818E+00     7
  4.31  0.89517E+00     6
  4.32  0.90219E+00     5
  4.33  0.90675E+00     5
  4.34  0.91008E+00     6
