# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W3     RSR     uncertainty (parts per thousand)
  7.00  0.34740E-05   681
  7.01  0.12674E-04   562
  7.02  0.72267E-08  1000
  7.03  0.94838E-08  1000
  7.04  0.60139E-06   707
  7.05  0.16020E-07  1000
  7.06  0.27214E-05   707
  7.07  0.27206E-07  1000
  7.08  0.35160E-07  1000
  7.09  0.45483E-07  1000
  7.10  0.50060E-05   707
  7.11  0.76225E-07  1000
  7.12  0.99885E-07  1000
  7.13  0.13149E-06  1000
  7.14  0.17376E-06  1000
  7.15  0.23452E-06  1000
  7.16  0.11762E-04   707
  7.17  0.44060E-06  1000
  7.18  0.61607E-06  1000
  7.19  0.86767E-06  1000
  7.20  0.28062E-04   707
  7.21  0.17202E-02   245
  7.22  0.16953E-02   241
  7.23  0.21202E-02   194
  7.24  0.22305E-02   211
  7.25  0.20557E-02   236
  7.26  0.21601E-02   202
  7.27  0.19177E-02   223
  7.28  0.11553E-02   300
  7.29  0.16445E-02   277
  7.30  0.26889E-02   157
  7.31  0.33714E-02   106
  7.32  0.35918E-02   154
  7.33  0.35219E-02   157
  7.34  0.37744E-02   138
  7.35  0.36840E-02   123
  7.36  0.33351E-02   128
  7.37  0.33336E-02   152
  7.38  0.31728E-02   143
  7.39  0.33791E-02   119
  7.40  0.36603E-02   152
  7.41  0.42789E-02   198
  7.42  0.54307E-02   185
  7.43  0.71141E-02   131
  7.44  0.92516E-02    83
  7.45  0.11710E-01    58
  7.46  0.14421E-01    54
  7.47  0.17429E-01    62
  7.48  0.21233E-01    72
  7.49  0.26207E-01    84
  7.50  0.33257E-01    95
  7.51  0.43132E-01   105
  7.52  0.56946E-01   113
  7.53  0.75682E-01   118
  7.54  0.10010E+00   118
  7.55  0.12979E+00   112
  7.56  0.16432E+00   103
  7.57  0.20006E+00    90
  7.58  0.23102E+00    75
  7.59  0.25482E+00    58
  7.60  0.26893E+00    42
  7.61  0.27304E+00    29
  7.62  0.26850E+00    20
  7.63  0.25881E+00    15
  7.64  0.24657E+00    13
  7.65  0.23555E+00    13
  7.66  0.22577E+00    12
  7.67  0.21849E+00    13
  7.68  0.21245E+00    15
  7.69  0.20893E+00    14
  7.70  0.20793E+00    14
  7.71  0.20820E+00    14
  7.72  0.20847E+00    13
  7.73  0.21001E+00    13
  7.74  0.21156E+00    13
  7.75  0.21183E+00    15
  7.76  0.21338E+00    15
  7.77  0.21494E+00    14
  7.78  0.21778E+00    12
  7.79  0.22190E+00    12
  7.80  0.22604E+00    12
  7.81  0.23019E+00    11
  7.82  0.23435E+00    10
  7.83  0.23852E+00    10
  7.84  0.24269E+00    11
  7.85  0.24559E+00    12
  7.86  0.24849E+00    13
  7.87  0.25010E+00    13
  7.88  0.25172E+00    13
  7.89  0.25333E+00    13
  7.90  0.25626E+00    14
  7.91  0.25788E+00    15
  7.92  0.26082E+00    17
