Name,agn_frac,agn_frac_16,agn_frac_84,alpha,alpha_16,alpha_84,lir_bb,lir_bb_16,lir_bb_84,lir_powlaw,lir_powlaw_16,lir_powlaw_84,lir_total,lir_total_16,lir_total_84,mdust,mdust_16,mdust_84,norm_pow,norm_pow_16,norm_pow_84,tdust,tdust_16,tdust_84,wturn,wturn_16,wturn_84
1RXSJ044154.5-082639,0.571686573071,0.488638292678,0.765681868815,1.70352834886,1.36098728027,2.16094832705,9.87500728169,9.61891319855,9.93755399183,10.1999037245,10.1348203732,10.2979274894,10.3681843293,10.3319369704,10.3878950181,6.79528500989,6.65463723853,7.00254483193,-0.607077244033,-0.794392656338,-0.427686251281,27.9772739553,23.7647065541,30.4269031357,47.7139061003,33.7552180352,66.5637320718
1RXSJ045205.0+493248,0.47093740117,0.444413603496,0.593638596443,1.43565214181,0.978764710858,2.02882729768,10.0720127439,9.97956582647,10.094825384,10.253907949,10.2398312404,10.3461338829,10.4734444196,10.4674763617,10.5152006679,7.47283906459,7.37122903285,7.58816956865,-0.306657327214,-0.441252064329,-0.173193143192,23.2658426725,21.6520489276,24.2598875473,39.950513691,26.8615901031,54.7667938038
2E1739.1-1210,0.554495361936,0.467611485063,0.707157894696,1.45755091231,1.08499835123,1.96999620687,10.3493245186,10.20281046,10.4040604522,10.6488014665,10.5572148732,10.7359350501,10.8254110255,10.7797186221,10.8568848024,7.55143106159,7.36412282544,7.76658592401,-0.0929051553526,-0.258795757549,0.0637420932815,25.1093950739,22.1131175717,27.2190976193,45.2183267586,31.0551671038,61.6395870251
2MASXiJ1802473-145454,0.181466069184,0.146461254942,0.277744190373,1.30128394007,0.910789624754,1.71835461867,8.6513914847,8.59697910099,8.67741768722,8.44999283188,8.41653960424,8.52899995632,8.86329353431,8.84540203084,8.89421230998,5.86466532794,5.75266128465,5.97335696072,-0.224890603343,-0.401464535595,0.00189539453583,25.0020230678,23.758592667,25.9943773687,50.1529348552,33.7113339386,68.4494971286
2MASXJ00253292+6821442,0.688178826905,0.577628900149,0.81324032032,1.46369582614,1.06140160203,1.98987774109,8.97854021546,8.82296821737,9.08724395581,9.49387815531,9.40376065393,9.60066564745,9.60957335101,9.56802886199,9.67964313207,6.15729653314,5.98008614419,6.54749030547,-0.250607571192,-0.409468081532,-0.104758686503,25.3353970226,20.2707168409,28.1244901412,45.4002471022,29.4700289948,61.783554286
2MASXJ01064523+0638015,0.922470354322,0.757963319932,0.909204073877,1.85518944096,1.43743087325,2.38852398886,9.21244810787,9.28109914395,9.73945989709,10.4219020627,10.3658447545,10.464334228,10.4479190453,10.4208218597,10.5169869789,6.81148986048,6.36883863288,7.49995058288,-0.300733354162,-0.440258617796,-0.199705953787,21.5618703223,14.0594398302,30.6565326794,44.5827885075,35.4816700963,55.1506032297
2MASXJ01073963-1139117,0.445195078516,0.295464210988,0.549969947859,2.04733825542,1.55481193741,2.6239300756,10.5004679551,10.4062528665,10.567968103,10.6476021167,10.5027568261,10.6964624438,10.8812663868,10.8218517671,10.8910115772,7.65988833757,7.6001962484,7.75433027464,-0.18267973482,-0.366661447236,-0.0496439745377,25.524084813,23.5638696439,26.7953172766,41.5273474742,31.1747702231,61.7221301199
2MASXJ03305218+0538253,0.839020973285,0.706946026297,0.913713854597,2.46282427169,1.85324847848,3.24259781371,9.86103797447,9.61752433256,10.1377691238,10.7233275603,10.6826381037,10.8016181492,10.7792074138,10.7673034561,10.8619030371,6.76083018326,6.43188314786,7.45315061024,-0.0725699981068,-0.245665580728,0.0519487446725,28.1980788754,19.4405722368,34.7652747183,33.7704494164,24.1017475401,42.2386195989
2MASXJ03342453-1513402,0.158507779712,0.0847263144525,0.554479060983,1.69074584474,1.25163942776,2.26860979115,10.3838526675,10.1313027504,10.4169405168,10.1506273909,10.0622451649,10.4485202317,10.5837412989,10.5612157382,10.6220208478,7.43471098269,7.39570771168,7.48545332661,-0.483753966779,-0.660643490287,-0.27355632952,26.6098788707,25.5203182381,27.2244239241,43.0019507193,26.9001292128,67.1462076045
2MASXJ03502377-5018354,0.0831423366269,0.113663204136,0.297236598717,2.1010015068,1.65628942512,2.61272146599,10.188517216,10.0939649169,10.1988668518,9.84580493215,9.87236669514,10.0612645578,10.3511540333,10.3473925265,10.4012661279,7.20143355049,7.11522783396,7.32551202186,-0.678915171846,-0.959730909263,-0.354012065534,27.0001556146,24.9100998358,28.1685644325,49.3195292724,30.0540929065,69.3286160747
2MASXJ03534246+3714077,0.108853094455,0.0368492081134,0.324356933264,1.73160943898,1.30950225258,2.15764903297,9.92488761087,9.81757714359,9.96899908537,9.62054371596,9.55150678966,9.80207668992,10.0998770441,10.0977577287,10.1369073166,6.98985296358,6.95006838037,7.06028746865,-0.387541246244,-0.610523429702,-0.0493616386841,26.4662151793,24.8136029901,27.1977927601,52.4206225927,32.7158492857,82.3953344665
2MASXJ04234080+0408017,0.656240428255,0.516086750055,0.714537322871,1.6651419218,1.3659179889,2.21390012258,10.3565675264,10.2582971449,10.4520401238,10.8157608983,10.691338341,10.8307614643,10.9452514634,10.8842427558,10.950909138,7.43850949421,7.33676351376,7.61284848288,-0.00613174807411,-0.166395610894,0.115294255875,26.2943563811,22.689333733,28.4323950806,50.4824733455,38.1305957752,78.7632128024
2MASXJ04440903+2813003,0.0644917899908,0.00290852602084,0.118346502365,0.957580032772,0.535965029112,1.53597203165,9.76698466398,9.73298188489,9.78947201538,9.39562926685,9.29583690917,9.45820199835,9.92087579738,9.88180417032,9.94390995799,7.06332206112,6.92712850851,7.17772379278,-0.4743105588,-0.649923821699,-0.335763663991,24.2176603219,23.3917545498,25.2410036842,45.0703560975,28.2498441476,64.2550497599
2MASXJ05020903+0331499,0.575881057578,0.32758861056,0.56959219891,1.61644395145,1.31366759057,1.98589139527,8.73066544468,8.72715005778,8.91301774784,9.06184407595,8.88261808121,9.04967129554,9.2281165115,9.1686071615,9.25573564453,6.44811662713,6.22492481373,7.02018622674,-0.813974253353,-1.07257678941,-0.657098745985,20.6041318852,14.394675458,23.6658991495,58.4674792264,41.5121901692,75.1469972671
2MASXJ05054575-2351139,0.861135618702,0.79482075799,0.905208058464,1.5562597481,1.20661255042,2.01702589256,9.39219678173,9.229497727,9.59272650346,10.3267807838,10.3087146962,10.3715284052,10.3745446548,10.3645767133,10.4137050416,7.28512718211,6.89208935617,7.63349333883,-0.29632141547,-0.402839436745,-0.196942369113,19.2625228172,16.1296572449,24.0252607219,52.2119417284,42.2592278069,65.9914376614
2MASXJ06561197-4919499,0.93231028112,0.886917434564,0.947719764495,1.93411817781,1.45370918699,2.41014902094,9.48461316082,9.39947567451,9.72254353288,10.7564018827,10.7186490719,10.8211237219,10.779029187,10.7568610868,10.8451813155,7.33710810004,6.88927862882,7.67028935875,0.034703879174,-0.104714809848,0.136071752308,19.5637010826,16.5787603846,25.2528981606,41.9854076783,36.0022494251,51.5522633079
2MASXJ07595347+2323241,-0.0577356896887,-0.086168883677,-0.0104737952351,1.26007255861,0.829298449599,1.78196544738,10.9016981585,10.8776444001,10.9169352428,10.3175965002,10.2709341912,10.3984581254,11.0022597367,10.9904055541,11.0170561709,8.18226347147,8.15554255744,8.21094803883,-0.282015645093,-0.432311776809,-0.120014105687,24.3646777252,24.0088378593,24.694578885,44.5014205641,28.2899495322,63.0886517274
2MASXJ09043699+5536025,0.655955917792,0.303827020592,0.800996074268,2.18095413545,1.8310385419,2.63407226787,9.56199689973,9.32899427726,9.81239613026,10.020706098,9.78472222571,10.0897969371,10.1503215443,10.0989362504,10.1679896323,6.71804640374,6.4869054561,7.25415894815,-0.482987794216,-0.820157248782,-0.328017611261,25.5571227849,17.5088993278,30.4728973145,51.9288232393,37.2023763929,66.044585666
2MASXJ09235371-3141305,0.215753101457,0.108770116192,0.417368323386,1.62582282735,1.19292363437,2.10241400043,9.70205126512,9.60280424819,9.76141495627,9.54723916982,9.43912148474,9.71933483586,9.93253719186,9.91660802581,9.97588114765,6.37158046104,6.20171866312,6.52574971371,-1.2534440678,-1.46032464819,-0.957426076777,30.8031784583,28.5560069533,32.9875440358,46.9547847008,30.1756886502,66.7688821834
2MASXJ09254750+6927532,0.758255428579,0.625857889144,0.885928177266,0.989242848366,0.648319103097,1.53005368873,9.56143311477,9.22957321742,9.73902431389,10.2161354402,10.1433263252,10.2584261435,10.303015121,10.2669407422,10.3346373932,7.11719449565,6.96491377378,7.50224317251,-0.72192365735,-0.867983284237,-0.580271861059,21.9229473358,16.7174644742,24.4651068473,50.1187761948,32.9973956962,67.6811664828
2MASXJ09594263-3112581,0.843782698765,0.812769669059,0.879664751759,1.27722551987,0.945720098253,1.66145189532,9.77182009129,9.66871709812,9.8641811376,10.6489102353,10.6289085323,10.7082913565,10.7030296971,10.6875095165,10.7587352592,7.43502449143,7.2015335194,7.62502376292,-0.12226185672,-0.235960499614,-0.00293503346697,21.0374984814,19.0000267443,23.9938335217,51.9197277615,43.3661751707,64.0629430703
2MASXJ10402231-4625264,0.258502441794,0.193770632467,0.574667547026,1.76361722102,1.3407224178,2.44303237,10.2950974475,10.0911191384,10.3435512971,10.197188936,10.1573113984,10.4141185702,10.5499264589,10.5459954047,10.5896728046,7.29453723664,7.25262893471,7.35323333072,-0.0766090013939,-0.256616500412,0.126387390583,27.1401509247,25.7882050338,27.9580319613,43.7097680172,26.6416072094,64.6585432547
2MASXJ11454045-1827149,0.572438467353,0.460357743824,0.680905505339,1.188475815,0.829572566007,1.64207573268,9.94941694138,9.83842087815,10.020471452,10.2754371119,10.1876294802,10.3493437363,10.4433570528,10.4056568801,10.4780917448,6.98560311645,6.91802546822,7.07621726269,-0.442426147619,-0.597104505305,-0.291710740169,26.7601250355,24.8985756764,28.0658909741,47.9843139594,33.472778721,67.4772580549
2MASXJ12005792+0648226,0.257998349145,0.183459228185,0.344748350015,1.50152088613,1.11737538061,1.99033550666,10.3773937141,10.3437900516,10.4112970965,10.2788199909,10.2074396764,10.362072798,10.6319275792,10.6153567623,10.6628278334,7.65240544267,7.6126733871,7.70492064302,-0.407767462031,-0.588534868007,-0.232581437787,24.4166569816,23.4297632873,25.0970074058,48.4624829995,34.6599572719,65.6243718005
2MASXJ12313717-4758019,0.18003087168,0.0774884490998,0.21431327662,2.03482308129,1.54821624502,2.69575422561,10.545335813,10.5244774097,10.5831513681,10.3419638951,10.2218477139,10.3768917967,10.756477048,10.7293537283,10.77629925,7.54427103031,7.51267616106,7.59630925163,-0.0263210229821,-0.216599348712,0.181185575565,27.1454065296,25.9653399169,27.7199573233,39.3702841633,25.84544261,60.7937731203
2MASXJ12335145-2103448,0.554145562675,0.42833439107,0.603170015932,1.83423398192,1.41812868286,2.31535097138,9.62126536363,9.5669125454,9.70184529057,9.92023030481,9.82177865209,9.96192833353,10.097011007,10.0590726258,10.1116174345,6.4965012916,6.41676554618,6.60984535578,-0.306710493252,-0.478909296638,-0.162957877713,28.4650589367,25.9389238628,30.1300516963,42.9713178817,32.4782488009,57.8445864141
2MASXJ13411287-1438407,0.872146527447,0.84546727457,0.881722191283,1.14162928424,0.785567089543,1.57525721033,9.6538460358,9.61973887487,9.73933414683,10.6282934669,10.5810983316,10.6648534038,10.6720722443,10.6322827385,10.7099631902,7.84623593352,7.69818252325,7.98129914792,-0.311727495069,-0.454020475944,-0.180115156528,17.1718574303,16.0276998745,18.478386184,49.8828409697,41.9053874634,60.7074150399
2MASXJ15064412+0351444,0.0395735283761,0.00520462871449,0.344965931401,1.60276382244,1.09986052971,2.09902316796,9.52392830652,9.39913417502,9.54520194002,9.1130645595,9.07470688266,9.41865287667,9.6664029214,9.65771403361,9.71742131804,6.77859630393,6.66344587735,6.88623752124,-1.56330462563,-1.81223106694,-1.23902954187,24.6080151417,23.2544291415,25.6706476672,51.6442631625,34.4458078761,69.8015785592
2MASXJ15115979-2119015,0.509933148324,0.360712481013,0.669084463598,1.84872025589,1.55141946399,2.32936421155,10.8924407899,10.7045565789,10.9808826683,11.1281503005,11.0002622347,11.2081089986,11.3271241989,11.2763924118,11.3450591338,7.85186833716,7.78092110566,7.9409030971,0.372542297299,0.182673643087,0.508586097677,27.5600932768,25.3954900398,29.3987976449,51.2647103615,37.9320041626,70.6440316531
2MASXJ15462424+6929102,0.607708687109,0.467594034243,0.848496081217,2.66232627503,1.98805894289,3.26750457511,9.65284390736,9.2581082668,9.74587138383,10.0328442328,9.94036897574,10.1576964559,10.184173953,10.142340768,10.2232632299,6.24365764112,5.94805784932,6.59365805792,-0.510497866912,-0.75679755142,-0.336057975662,31.7478614177,24.0686839392,36.4561891949,37.7041477058,27.8583407602,56.1477795347
