Name,alpha,alpha_16,alpha_84,lir_bb,lir_bb_16,lir_bb_84,lir_powlaw,lir_powlaw_16,lir_powlaw_84,lir_total,lir_total_16,lir_total_84,mdust,mdust_16,mdust_84,norm_pow,norm_pow_16,norm_pow_84,tdust,tdust_16,tdust_84,wturn,wturn_16,wturn_84
100,0.012610903,-0.147328306,0.243462039,9.523134616,9.504525408,9.533463772,8.958882854,8.932888354,8.966993036,9.627874181,9.611296115,9.633078536,7.045628,7.033165963,7.058735054,-0.426945119,-0.55120684,-0.292300353,22.20460089,21.97574556,22.42901473,48.06156262,34.10141385,63.9854197
102,0.050109215,-0.06392293,0.273920478,10.54390572,10.52943566,10.56302201,10.11004515,10.10049543,10.12494443,10.68007028,10.66913309,10.69704044,7.951351024,7.93444592,7.967597314,0.740642269,0.651143224,0.867059603,23.20682478,22.91160805,23.49926574,49.21388264,34.64331884,66.47197943
106,-0.234543,-0.993286904,0.345664259,8.885962629,8.776532846,8.979617858,8.475736371,8.400228339,8.496462875,9.028615631,8.945309568,9.092327651,6.822082632,6.702276533,6.948534909,-1.298812006,-1.818140158,-0.968217724,18.94595485,17.23481705,20.7266166,47.06705646,30.19380467,66.24241579
108,0.088545056,-0.347017106,0.55087701,8.779781816,8.70795586,8.81915604,8.143689237,8.083359973,8.16592271,8.870095325,8.803858848,8.897748344,6.189914398,6.133895114,6.248051819,-1.462525223,-1.755727951,-1.229057944,23.18290649,22.27828188,24.02469998,46.75925549,29.98517775,66.24950809
109,-0.369609647,-0.814189683,0.057775953,8.852911951,8.78443055,8.902414359,8.260545034,8.206275624,8.276266813,8.951777964,8.893960786,8.987406899,6.79294543,6.74967246,6.83984033,-1.332731602,-1.671710222,-1.043614913,18.91752877,18.30058959,19.51982515,48.53398677,31.48479431,68.73862515
10,0.226640396,-0.036238151,0.567177894,8.460616987,8.449363237,8.510551302,8.255836364,8.159555738,8.245114562,8.671216379,8.643376586,8.6822423,6.470393449,6.391795473,6.54585809,-1.230024388,-1.401197708,-1.080422035,18.41804136,17.52121492,19.36031398,46.74260824,30.02699579,66.51483345
110,0.845667176,0.580875818,1.220814067,9.25434653,9.230084966,9.283976844,8.707893387,8.660096089,8.738816435,9.362962108,9.34391211,9.384546609,6.888359664,6.858176176,6.919373762,-0.285298822,-0.396411098,-0.199956888,21.27446424,20.84859003,21.70572473,48.0892978,30.24138712,67.48179234
111,-0.001461025,-0.164484108,0.264997302,9.700348412,9.687253209,9.7055601,9.180325373,9.156650608,9.189060304,9.814952442,9.803566708,9.818923526,7.313888846,7.302770867,7.324445797,-0.208755958,-0.335819014,-0.057758175,21.44224701,21.25848007,21.63654365,46.7406355,32.53468131,64.76816478
112,-0.027190675,-0.754046223,0.733795928,8.725631798,8.664254377,8.772276963,8.057682577,7.962200115,8.126418591,8.810139499,8.759027101,8.849835676,6.30605914,6.245970094,6.362664436,-1.607387908,-2.054661574,-1.28430266,21.71643052,20.88924324,22.57120454,46.82680485,28.21784937,66.2078264
113,-0.220628984,-0.389340998,0.066807403,9.808076882,9.79845761,9.822512014,9.195804641,9.179425281,9.210423478,9.902963566,9.894249256,9.915063876,7.597997882,7.585338271,7.610345115,-0.30957527,-0.467395403,-0.105427226,20.0390921,19.85566409,20.23370716,47.23698656,31.55132152,64.98530067
